路線名稱(0), 方向性(1), 站序(2), 站牌名稱(3), 緯度(4), 經度(5)
冬山河線,回程,5,慈濟精舍,24.68275,121.78262
冬山河線,回程,6,羅東轉運站(羅東後火車後站),24.67806,121.77533
冬山河線,回程,7,羅東林業文化園區,24.680421,121.771719
冬山河線,回程,8,羅東夜市（公正國小）,24.6795,121.76653
冬山河線,回程,9,羅東運動公園自行車道（羅東高中）,24.68028,121.76196
冬山河線,回程,10,北城公園,24.67913,121.75586
冬山河線,回程,11,羅東運動公園,24.68208,121.75154
慈湖線,去程,0,桃客中壢總站,24.953219,121.223882
慈湖線,去程,1,南勢,24.91412,121.21033
慈湖線,去程,2,山仔頂,24.8994,121.21079
慈湖線,去程,3,百年大鎮,24.87796,121.211742
慈湖線,去程,4,桃客龍潭客運站,24.867633,121.215822
慈湖線,去程,5,龍潭大池,24.861928,121.212416
慈湖線,去程,6,桃園市客家文化館,24.846028,121.234048
慈湖線,去程,7,文化路活魚街,24.842078,121.240752
慈湖線,去程,8,石門大草坪,24.836427,121.240623
慈湖線,去程,9,文化路活魚街,24.842078,121.240752
慈湖線,去程,10,三坑老街,24.842046,121.244073
慈湖線,去程,11,石門水庫(坪林收費站),24.821372,121.256606
慈湖線,去程,12,好時節農莊,24.854451,121.282157
慈湖線,去程,13,大溪老街,24.879644,121.290371
慈湖線,去程,14,大溪陵寢,24.848429,121.284788
慈湖線,去程,15,慈湖,24.84,121.2944
慈湖線,回程,0,慈湖,24.84,121.2944
慈湖線,回程,1,大溪陵寢,24.848429,121.284788
慈湖線,回程,2,大溪老街,24.879644,121.290371
慈湖線,回程,3,好時節農莊,24.854451,121.282157
慈湖線,回程,4,石門水庫(坪林收費站),24.821372,121.256606
慈湖線,回程,5,三坑老街,24.842046,121.244073
慈湖線,回程,6,文化路活魚街,24.842078,121.240752
慈湖線,回程,7,石門大草坪,24.836427,121.240623
慈湖線,回程,8,文化路活魚街,24.842078,121.240752
慈湖線,回程,9,桃園市客家文化館,24.846028,121.234048
慈湖線,回程,10,龍潭大池,24.861928,121.212416
慈湖線,回程,11,桃客龍潭客運站,24.867633,121.215822
慈湖線,回程,12,百年大鎮,24.87796,121.211742
慈湖線,回程,13,山仔頂,24.8994,121.21079
慈湖線,回程,14,南勢,24.91487,121.21065
慈湖線,回程,15,桃客中壢總站,24.953219,121.223882
獅山線,去程,0,臺鐵竹北站,24.839851,121.009426
獅山線,去程,1,竹北口,24.837913,121.005035
獅山線,去程,2,新竹縣政府,24.825937,121.011651
獅山線,去程,3,新竹喜來登飯店,24.819909,121.027114
獅山線,去程,4,高鐵新竹站,24.807192,121.040352
獅山線,去程,5,文林閣站,24.772275,121.083369
獅山線,去程,6,竹東遊客中心,24.738051,121.094445
獅山線,去程,7,綠世界生態農場,24.712335,121.070455
獅山線,去程,8,北埔老街,24.700770,121.055898
獅山線,去程,9,峨眉站,24.700655,121.055477
獅山線,去程,10,獅山遊客中心,24.655698,121.023127
獅山線,回程,0,獅山遊客中心,24.655698,121.023127
獅山線,回程,1,峨眉站,24.700655,121.055477
獅山線,回程,2,北埔老街,24.700655,121.055477
獅山線,回程,3,綠世界生態農場,24.712464,121.070385
獅山線,回程,4,竹東遊客中心,24.738051,121.094445
獅山線,回程,5,文林閣站,24.772268,121.083500
獅山線,回程,6,高鐵新竹站,24.807192,121.040352
獅山線,回程,7,新竹喜來登飯店,24.820619,121.026774
獅山線,回程,8,新竹縣政府,24.825798,121.012727
獅山線,回程,9,竹北口,24.837906,121.005299
獅山線,回程,10,臺鐵竹北站,24.839851,121.009426
南庄線,去程,0,臺鐵竹南站(東出口),24.686,120.882
南庄線,去程,1,苗北藝文中心,24.69084,120.88614
南庄線,去程,2,尚順廣場(頭份國中),24.690969,120.902001
南庄線,去程,3,苗栗客運(頭份總站),24.686131,120.910378
南庄線,去程,4,頭份後花園(斗煥坪),24.68045,120.9465
南庄線,去程,5,三灣,24.65405,120.95611
南庄線,去程,6,獅頭山古道口站,24.63753,121.00469
南庄線,去程,7,龍門口站(勸化堂),24.63462,121.01188
南庄線,去程,8,桂竹林,24.61651,121.0071
南庄線,去程,9,南庄國中,24.6043,121.00082
南庄線,去程,10,南庄,24.59835,120.99797
南庄線,去程,11,南庄遊客中心,24.59836,120.99983
南庄線,回程,0,南庄遊客中心,24.59836,120.99983
南庄線,回程,1,南庄,24.59835,120.99797
南庄線,回程,2,南庄國中,24.6043,121.00082
南庄線,回程,3,桂竹林,24.61651,121.0071
南庄線,回程,4,龍門口站(勸化堂),24.63462,121.01188
南庄線,回程,5,獅頭山古道口站,24.63753,121.00469
南庄線,回程,6,三灣,24.65405,120.95611
南庄線,回程,7,頭份後花園(斗煥坪),24.68045,120.9465
南庄線,回程,8,苗栗客運(頭份總站),24.686131,120.910378
南庄線,回程,9,尚順廣場(頭份國中),24.532898,120.817305
南庄線,回程,10,苗北藝文中心,24.69053,120.88600
南庄線,回程,11,臺鐵竹南站(東出口),24.686,120.882
向天湖線(南庄支線),去程,0,南庄,24.59835,120.99797
向天湖線(南庄支線),去程,1,南庄遊客中心,24.59836,120.99983
向天湖線(南庄支線),去程,2,東江部落,24.59801,121.021
向天湖線(南庄支線),去程,3,橫屏背部落(橫屏背生態賞魚步道),24.60077,121.037569
向天湖線(南庄支線),去程,4,東河吊橋(瓦祿產業文化館),24.598368,121.041226
向天湖線(南庄支線),去程,5,向天湖(賽夏文物館),24.584413, 121.032774
向天湖線(南庄支線),回程,0,向天湖(賽夏文物館),24.584413, 121.032774
向天湖線(南庄支線),回程,1,東河吊橋(瓦祿產業文化館),24.59815,121.0414
向天湖線(南庄支線),回程,2,橫屏背部落(橫屏背生態賞魚步道),24.60088,121.0376
向天湖線(南庄支線),回程,3,東江部落,24.59809,121.02124
向天湖線(南庄支線),回程,4,南庄遊客中心,24.59833,120.99988
向天湖線(南庄支線),回程,5,南庄,24.59835,120.99797
仙山線(南庄支線),去程,0,南庄,24.59835,120.99797
仙山線(南庄支線),去程,1,南庄遊客中心,24.59836,120.99983
仙山線(南庄支線),去程,2,里京館,24.58983,120.99776
仙山線(南庄支線),去程,3,小東河部落,24.5813,120.99127
仙山線(南庄支線),去程,4,南江休閒農業區,24.57251,120.98555
仙山線(南庄支線),去程,5,下庄,24.5565,120.97832
仙山線(南庄支線),去程,6,蓬萊自然生態園區,24.55116,120.97337
仙山線(南庄支線),去程,7,二坪部落,24.53721,120.96857
仙山線(南庄支線),去程,8,四二份部落(1),24.53571,120.96962
仙山線(南庄支線),去程,9,四二份部落(2),24.53559,120.96874
仙山線(南庄支線),去程,10,八卦力部落,24.52821,120.96159
仙山線(南庄支線),去程,11,仙山靈洞宮,24.54159,120.94828
仙山線(南庄支線),回程,0,仙山靈洞宮,24.54159,120.94828
仙山線(南庄支線),回程,1,八卦力部落,24.52827,120.96179
仙山線(南庄支線),回程,2,四二份部落(2),24.53568,120.96854
仙山線(南庄支線),回程,3,四二份部落(1),24.53583,120.96964
仙山線(南庄支線),回程,4,二坪部落,24.53727,120.9686
仙山線(南庄支線),回程,5,蓬萊自然生態園區,24.55103,120.97335
仙山線(南庄支線),回程,6,下庄,24.55647,120.9784
仙山線(南庄支線),回程,7,南江休閒農業區,24.572435,120.985633
仙山線(南庄支線),回程,8,小東河部落,24.58143,120.99139
仙山線(南庄支線),回程,9,里京館,24.58979,120.997853
仙山線(南庄支線),回程,10,南庄遊客中心,24.59833,120.99988
仙山線(南庄支線),回程,11,南庄,24.59835,120.99797
日月潭線,去程,0,臺中干城站,24.1411,120.68561
日月潭線,去程,1,臺鐵臺中站,24.136337,120.683035
日月潭線,去程,2,臺鐵大慶站,24.11925,120.64762
日月潭線,去程,3,高鐵臺中站,24.11105,120.6165
日月潭線,去程,4,埔里遊客中心,23.969105,120.930719
日月潭線,去程,5,牛耳石雕公園,23.96634676,120.9439983
日月潭線,去程,6,埔里轉運站,23.96352,120.96915
日月潭線,去程,7,暨南大學,23.94992,120.93812
日月潭線,去程,8,桃米坑(紙教堂),23.94224,120.9296
日月潭線,去程,9,大雁(澀水社區),23.91859,120.92558
日月潭線,去程,10,九族文化村(部分班次停靠),23.87151,120.94418
日月潭線,去程,11,魚池,23.89649,120.93507
日月潭線,去程,12,日月老茶廠,23.89328,120.92449
日月潭線,去程,13,日月潭,23.86661,120.91129
日月潭線,去程,14,向山行政中心(部分班次停靠),23.85219,120.90133
日月潭線,回程,0,向山行政中心(部分班次停靠),23.852286,120.901454
日月潭線,回程,1,日月潭,23.86661,120.91129
日月潭線,回程,2,日月老茶廠,23.89328,120.92449
日月潭線,回程,3,魚池,23.89649,120.93507
日月潭線,回程,4,九族文化村(部分班次停靠),23.87151,120.94418
日月潭線,回程,5,大雁(澀水社區),23.91859,120.92558
日月潭線,回程,6,桃米坑(紙教堂),23.94224,120.9296
日月潭線,回程,7,暨南大學,23.94992,120.93812
日月潭線,回程,8,埔里轉運站,23.96352,120.96915
日月潭線,回程,9,牛耳石雕公園,23.96634676,120.9439983
日月潭線,回程,10,高鐵臺中站,24.11105,120.6165
日月潭線,回程,11,臺鐵大慶站,24.11925,120.64762
日月潭線,回程,12,臺鐵臺中站,24.136337,120.683035
日月潭線,回程,13,臺中干城站,24.1411,120.68561
溪頭線,去程,0,臺中干城站,24.1411,120.68561
溪頭線,去程,1,臺鐵臺中站,24.136337,120.683035
溪頭線,去程,2,民興公園,24.12814,120.664
溪頭線,去程,3,臺鐵大慶站,24.11925,120.64762
溪頭線,去程,4,高鐵臺中站,24.11105,120.6165
溪頭線,去程,5,車籠埔斷層保存園區,23.794647,120.710749
溪頭線,去程,6,倉庫前(竹山交流道),23.79357,120.70979
溪頭線,去程,7,竹山工業區服務中心,23.768225,120.704655
溪頭線,去程,8,初鄉,23.76528,120.73524
溪頭線,去程,9,中興蜂場,23.75262,120.74656
溪頭線,去程,10,鹿彰,23.745693,120.752315
溪頭線,去程,11,鹿谷鄉農會茶業中心,23.74136,120.75716
溪頭線,去程,12,廣興,23.73756,120.76202
溪頭線,去程,13,內湖,23.72037,120.77835
溪頭線,去程,14,內湖國小,23.71272,120.78025
溪頭線,去程,15,彎坑,23.68876,120.79094
溪頭線,去程,16,米堤,23.68563,120.79343
溪頭線,去程,17,溪頭(溪頭自然教育園區),23.67306,120.79563
溪頭線,回程,0,溪頭(溪頭自然教育園區),23.67306,120.79563
溪頭線,回程,1,米堤,23.68563,120.79343
溪頭線,回程,2,彎坑,23.68876,120.79094
溪頭線,回程,3,內湖國小,23.71272,120.78025
溪頭線,回程,4,內湖,23.72037,120.77835
溪頭線,回程,5,廣興,23.73756,120.76202
溪頭線,回程,6,鹿谷鄉農會茶業中心,23.74136,120.75716
溪頭線,回程,7,鹿彰,23.745693,120.752315
溪頭線,回程,8,中興蜂場,23.75262,120.74656
溪頭線,回程,9,初鄉,23.76528,120.73524
溪頭線,回程,10,竹山工業區服務中心,23.768225,120.704655
溪頭線,回程,11,倉庫前(竹山交流道),23.79357,120.70979
溪頭線,回程,12,車籠埔斷層保存園區,23.794647,120.710749
溪頭線,回程,13,高鐵臺中站,24.11105,120.6165
溪頭線,回程,14,臺鐵大慶站,24.11925,120.64762
溪頭線,回程,15,公館里,24.12814,120.664
溪頭線,回程,16,臺鐵臺中站,24.136337,120.683035
溪頭線,回程,17,臺中干城站,24.1411,120.68561
阿里山-A線(高鐵出發),去程,0,高鐵嘉義站,23.458720,120.322791
阿里山-A線(高鐵出發),去程,1,頂六國小,23.446026,120.494348
阿里山-A線(高鐵出發),去程,2,吳鳳廟,23.443670,120.542270
阿里山-A線(高鐵出發),去程,3,觸口遊客中心,23.445049,120.587357
阿里山-A線(高鐵出發),去程,4,觸口,23.438262,120.606985
阿里山-A線(高鐵出發),去程,5,龍美,23.406510,120.650470
阿里山-A線(高鐵出發),去程,6,隙頂,23.429570,120.660420
阿里山-A線(高鐵出發),去程,7,巃頭坪,23.443410,120.672660
阿里山-A線(高鐵出發),去程,8,石棹,23.473000,120.697310
阿里山-A線(高鐵出發),去程,9,十字村,23.49204,120.75464
阿里山-A線(高鐵出發),去程,10,青年活動中心,23.500295,120.793929
阿里山-A線(高鐵出發),去程,11,阿里山,23.50819,120.80125
阿里山-A線(高鐵出發),回程,0,阿里山,23.50819,120.80125
阿里山-A線(高鐵出發),回程,1,青年活動中心,23.500295,120.793929
阿里山-A線(高鐵出發),回程,2,十字村,23.492310,120.75468
阿里山-A線(高鐵出發),回程,3,石棹,23.473240,120.697370
阿里山-A線(高鐵出發),回程,4,巃頭坪,23.443440,120.672520
阿里山-A線(高鐵出發),回程,5,隙頂,23.429270,120.659950
阿里山-A線(高鐵出發),回程,6,龍美,23.406660,120.650180
阿里山-A線(高鐵出發),回程,7,觸口,23.438560,120.606790
阿里山-A線(高鐵出發),回程,8,觸口遊客中心,23.445989,120.583988
阿里山-A線(高鐵出發),回程,9,吳鳳廟,23.443770,120.542260
阿里山-A線(高鐵出發),回程,10,頂六國小,23.445930,120.494650
阿里山-A線(高鐵出發),回程,11,高鐵嘉義站,23.458721,120.322870
阿里山-B線(臺鐵出發),去程,0,臺鐵嘉義站,23.47854,120.44125
阿里山-B線(臺鐵出發),去程,1,頂六國小,23.446026,120.494348
阿里山-B線(臺鐵出發),去程,2,吳鳳廟,23.44367,120.54227
阿里山-B線(臺鐵出發),去程,3,觸口遊客中心,23.445049,120.587357
阿里山-B線(臺鐵出發),去程,4,觸口,23.438262,120.606985
阿里山-B線(臺鐵出發),去程,5,龍美,23.40651,120.65047
阿里山-B線(臺鐵出發),去程,6,隙頂,23.42957,120.66042
阿里山-B線(臺鐵出發),去程,7,巃頭坪,23.443410,120.672660
阿里山-B線(臺鐵出發),去程,8,石棹,23.473,120.69731
阿里山-B線(臺鐵出發),去程,9,十字村,23.49204,120.75464
阿里山-B線(臺鐵出發),去程,10,青年活動中心,23.500295,120.793929
阿里山-B線(臺鐵出發),去程,11,阿里山,23.50819,120.80125
阿里山-B線(臺鐵出發),回程,0,阿里山,23.50819,120.80125
阿里山-B線(臺鐵出發),回程,1,青年活動中心,23.500295,120.793929
阿里山-B線(臺鐵出發),回程,2,十字村,23.49231,120.75468
阿里山-B線(臺鐵出發),回程,3,石棹,23.47324,120.69737
阿里山-B線(臺鐵出發),回程,4,巃頭坪,23.443440,120.67252
阿里山-B線(臺鐵出發),回程,5,隙頂,23.42927,120.65995
阿里山-B線(臺鐵出發),回程,6,龍美,23.40666,120.65018
阿里山-B線(臺鐵出發),回程,7,觸口,23.43856,120.60679
阿里山-B線(臺鐵出發),回程,8,觸口遊客中心,23.445989,120.583988
阿里山-B線(臺鐵出發),回程,9,吳鳳廟,23.44377,120.54226
阿里山-B線(臺鐵出發),回程,10,頂六國小,23.44593,120.49465
阿里山-B線(臺鐵出發),回程,11,臺鐵嘉義站,23.47854,120.44125
88安平線,去程,0,台南公園(公園路),23.0017,120.20901
88安平線,去程,1,興濟宮/大觀音亭(成功路),22.99792324,120.2076575
88安平線,去程,2,臺南火車站(南站),22.996975,120.211265
88安平線,去程,3,縣知事官邸,22.99321,120.21178
88安平線,去程,4,東門圓環,22.98944929,120.2114528
88安平線,去程,5,延平郡王祠,22.9876,120.2087
88安平線,去程,6,大東夜市,22.9839,120.21801
88安平線,去程,7,文化中心(巴克禮公園),22.97537,120.22198
88安平線,去程,8,台糖長榮酒店,22.97397,120.22096
88安平線,去程,9,竹溪寺,22.98132,120.20956
88安平線,去程,10,體育公園(臺南大學),22.98135,120.205833
88安平線,去程,11,大南門城,22.98713,120.20447
88安平線,去程,12,孔廟,22.99038,120.2047
88安平線,去程,13,葉石濤文學紀念館,22.99072,120.20362
88安平線,去程,14,林百貨/鄭成功祖廟,22.99302,120.20327
88安平線,去程,15,赤嵌樓,22.99679,120.20248
88安平線,去程,16,神農街/水仙宮,22.99728,120.19717
88安平線,去程,17,中正商圈,22.99305,120.19657
88安平線,去程,18,小西門(大億麗緻),22.988883,120.1975
88安平線,去程,19,水萍塭公園,22.987962,120.192875
88安平線,去程,20,億載金城/德陽艦,22.98893,120.16016
88安平線,去程,21,林默娘公園,22.99334,120.15727
88安平線,去程,22,原住民文化會館,22.995733,120.163897
88安平線,去程,23,運河博物館,22.9992,120.1637
88安平線,去程,24,延平街,23.00059,120.16415
88安平線,去程,25,安平古堡(安北路),23.00284639,120.1604909
88安平線,去程,26,德記洋行/安平樹屋,23.0023,120.1583
88安平線,去程,27,古運河,23.00044,120.15413
88安平線,去程,28,碧海碼頭,22.99342,120.15282
88安平線,去程,29,觀夕平台,22.99064,120.14705
88安平線,回程,0,觀夕平台,22.99064,120.14705
88安平線,回程,1,碧海碼頭,22.99342,120.15282
88安平線,回程,2,古運河,23.00044,120.15413
88安平線,回程,3,德記洋行/安平樹屋,23.0023,120.1583
88安平線,回程,4,安平古堡(安北路),23.00284639,120.1604909
88安平線,回程,5,延平街,23.00059,120.16415
88安平線,回程,6,運河博物館,22.9992,120.1637
88安平線,回程,7,原住民文化會館,22.995733,120.163897
88安平線,回程,8,林默娘公園,22.99334,120.15727
88安平線,回程,9,億載金城/德陽艦,22.98893,120.16016
88安平線,回程,10,水萍塭公園,22.987962,120.192875
88安平線,回程,11,小西門(大億麗緻),22.988883,120.1975
88安平線,回程,12,中正商圈,22.99305,120.19657
88安平線,回程,13,神農街/水仙宮,22.99728,120.19717
88安平線,回程,14,赤嵌樓,22.99679,120.20248
88安平線,回程,15,林百貨/鄭成功祖廟,22.99302,120.20327
88安平線,回程,16,葉石濤文學紀念館,22.99072,120.20362
88安平線,回程,17,大南門城,22.98713,120.20447
88安平線,回程,18,體育公園(臺南大學),22.98135,120.205833
88安平線,回程,19,竹溪寺,22.98132,120.20956
88安平線,回程,20,文化中心(巴克禮公園),22.97537,120.22198
88安平線,回程,21,大東夜市,22.9839,120.21801
88安平線,回程,22,延平郡王祠,22.9876,120.2087
88安平線,回程,23,東門圓環,22.98944929,120.2114528
88安平線,回程,24,縣知事官邸,22.99321,120.21178
88安平線,回程,25,臺南火車站(北站),22.996975,120.211265
88安平線,回程,26,興濟宮/大觀音亭(成功路),22.99792324,120.2076575
88安平線,回程,27,台南公園(公園路),23.0017,120.20901
99台江線,去程,0,台南公園(公園路),23.001772,120.209099
99台江線,去程,1,臺南火車站(南站),22.996975,120.211265
99台江線,去程,2,香格里拉飯店,22.996676,120.215024
99台江線,去程,3,成功大學,23.001121,120.21812
99台江線,去程,4,吳園,22.994119,120.205897
99台江線,去程,5,赤嵌樓,22.996825,120.202643
99台江線,去程,6,水仙宮,22.99567,120.199402
99台江線,去程,7,接官亭,22.996068,120.194495
99台江線,去程,8,望月橋,22.998027,120.175018
99台江線,去程,9,承天橋口,22.998458,120.17103
99台江線,去程,10,安平蚵灰窯文化館,23.002404,120.164141
99台江線,去程,11,安平古堡(安北路),23.002866,120.16075
99台江線,去程,12,德記洋行/安平樹屋,23.002245,120.158291
99台江線,去程,13,古運河,23.00044,120.15413
99台江線,去程,14,大員皇冠假日酒店,22.998381, 120.149412
99台江線,去程,15,四草大橋東,22.99502,120.14324
99台江線,去程,16,台江國家公園管理處,23.00133,120.13644
99台江線,去程,17,四草生態文化園區(大眾廟),23.019221,120.134744
99台江線,去程,18,四草野生動物保護區,23.026032,120.141198
99台江線,去程,19,鹿耳門天后宮,23.03697,120.12498
99台江線,去程,20,鹿耳門聖母廟,23.06658,120.12821
99台江線,去程,21,七股西,23.13398,120.13286
99台江線,去程,22,龍山村,23.137729,120.114598
99台江線,去程,23,台灣鹽博物館,23.154779,120.104969
99台江線,去程,24,七股鹽山,23.15295,120.09897
99台江線,回程,0,七股鹽山,23.15295,120.09897
99台江線,回程,1,台灣鹽博物館,23.154779,120.104969
99台江線,回程,2,龍山村,23.137729,120.114598
99台江線,回程,3,七股西,23.134,120.13274
99台江線,回程,4,鹿耳門聖母廟,23.06658,120.12821
99台江線,回程,5,鹿耳門天后宮,23.03697,120.12498
99台江線,回程,6,四草野生動物保護區,23.026032,120.141198
99台江線,回程,7,四草生態文化園區(大眾廟),23.019221,120.134744
99台江線,回程,8,台江國家公園管理處,23.00133,120.13644
99台江線,回程,9,四草大橋東,22.99502,120.14324
99台江線,回程,10,大員皇冠假日酒店,22.998277, 120.149441
99台江線,回程,11,古運河,23.00044,120.15413
99台江線,回程,12,德記洋行/安平樹屋,23.002245,120.158291
99台江線,回程,13,安平古堡(安北路),23.002866,120.16075
99台江線,回程,14,承天橋口,22.998458,120.17103
99台江線,回程,15,望月橋,22.998027,120.175018
99台江線,回程,16,接官亭,22.996068,120.194495
99台江線,回程,17,水仙宮,22.99567,120.199402
99台江線,回程,18,赤嵌樓,22.996825,120.202643
99台江線,回程,19,臺南火車站(北站),22.996975,120.211265
99台江線,回程,20,香格里拉飯店,22.996676,120.215024
99台江線,回程,21,成功大學,23.001121,120.21812
99台江線,回程,22,台南公園(公園路),23.001772,120.209099
墾丁快線,去程,0,高鐵左營站,22.686938,120.308618
墾丁快線,去程,1,大鵬灣,22.456972,120.479889
墾丁快線,去程,2,臺鐵枋寮站,22.3676,120.59393
墾丁快線,去程,3,車城,22.07236,120.71395
墾丁快線,去程,4,南保力,22.05313,120.72199
墾丁快線,去程,5,恆春轉運站,22.002389,120.745261
墾丁快線,去程,6,南灣,21.95995,120.76482
墾丁快線,去程,7,小灣(墾丁),21.94182,120.80543
墾丁快線,回程,0,小灣(墾丁),21.94182,120.80543
墾丁快線,回程,1,南灣,21.95995,120.76482
墾丁快線,回程,2,恆春轉運站,22.002389,120.745261
墾丁快線,回程,3,南保力,22.05313,120.72199
墾丁快線,回程,4,車城,22.07236,120.71395
墾丁快線,回程,5,臺鐵枋寮站,22.3676,120.59393
墾丁快線,回程,6,大鵬灣,22.456972,120.479889
墾丁快線,回程,7,高鐵左營站,22.686938,120.308618
縱谷鹿野線,去程,0,臺東轉運站,22.752438,121.14694
縱谷鹿野線,去程,1,公教會館,22.75580072,121.1446162
縱谷鹿野線,去程,2,傳廣更生,22.7618877,121.1439604
縱谷鹿野線,去程,3,四維傳廣,22.76597222,121.1423611
縱谷鹿野線,去程,4,卑南入口,22.77646343,121.1276579
縱谷鹿野線,去程,5,臺東火車站,22.79284892,121.1233851
縱谷鹿野線,去程,6,卑南文化公園,22.79153588,121.121352
縱谷鹿野線,去程,7,南王部落,22.78823467,121.1120877
縱谷鹿野線,去程,8,明峰,22.85684744,121.0922849
縱谷鹿野線,去程,9,原生植物園,22.85393958,121.1040196
縱谷鹿野線,去程,10,初鹿牧場,22.86558302,121.1080241
縱谷鹿野線,去程,11,四維,22.89727984,121.0954754
縱谷鹿野線,去程,12,鹿鳴酒店,22.89932014,121.1013696
縱谷鹿野線,去程,13,崑慈堂,22.90398868,121.1202369
縱谷鹿野線,去程,14,鹿野火車站,22.91219994,121.1360827
縱谷鹿野線,去程,15,永昌部落,22.93108998,121.1384618
縱谷鹿野線,去程,16,永安社區,22.93314151,121.1191781
縱谷鹿野線,去程,17,鹿野遊客中心,22.92424723,121.1242649
縱谷鹿野線,去程,18,鹿野高台西站,22.91635,121.11952
縱谷鹿野線,去程,19,鹿野高台,22.9128707,121.119453
縱谷鹿野線,回程,0,鹿野高台,22.9128707,121.119453
縱谷鹿野線,回程,1,鹿野高台東站,22.91635,121.11952
縱谷鹿野線,回程,2,鹿野遊客中心,22.92424723,121.1242649
縱谷鹿野線,回程,3,永安社區,22.93314151,121.1191781
縱谷鹿野線,回程,4,永昌部落,22.93108998,121.1384618
縱谷鹿野線,回程,5,鹿野火車站,22.91219994,121.1360827
縱谷鹿野線,回程,6,崑慈堂,22.90398868,121.1202369
縱谷鹿野線,回程,7,鹿鳴酒店,22.89932014,121.1013696
縱谷鹿野線,回程,8,四維,22.89727984,121.0954754
縱谷鹿野線,回程,9,初鹿牧場,22.86558302,121.1080241
縱谷鹿野線,回程,10,原生植物園,22.85393958,121.1040196
縱谷鹿野線,回程,11,明峰,22.85684744,121.0922849
縱谷鹿野線,回程,12,南王部落,22.78823467,121.1120877
縱谷鹿野線,回程,13,卑南文化公園,22.79153588,121.121352
縱谷鹿野線,回程,14,臺東火車站,22.79284892,121.1233851
縱谷鹿野線,回程,15,卑南入口,22.77646343,121.1276579
縱谷鹿野線,回程,16,四維傳廣,22.76597222,121.1423611
縱谷鹿野線,回程,17,傳廣更生,22.7618877,121.1439604
縱谷鹿野線,回程,18,公教會館,22.75580072,121.1446162
縱谷鹿野線,回程,19,臺東轉運站,22.752438,121.14694
太魯閣線,去程,0,臺鐵花蓮站,23.99277,121.60296
太魯閣線,去程,1,七星潭,24.032505,121.626754
太魯閣線,去程,2,臺鐵新城站,24.12774,121.64124
