交易日期(0), 作物代號(1), 作物名稱(2), 市場代號(3), 市場名稱(4), 上價(5), 中價(6), 下價(7), 平均價(8), 交易量(9)
107.06.08,FG4,苦瓜-翠綠,104,台北二,14.9,8.8,5,9.3,897
107.06.08,FH1,扁蒲-長形,104,台北二,3,3,3,3,10
107.06.08,FH3,扁蒲-花蒲,104,台北二,9.7,6.3,3,6.3,2662
107.06.08,FH4,扁蒲-梨子蒲,104,台北二,12.3,6.8,3.3,7.2,4634
107.06.08,FI1,茄子-胭脂茄,104,台北二,10,8,4.8,7.7,440
107.06.08,FI2,茄子-麻荸茄,104,台北二,30.3,18.9,8.6,19.1,6303
107.06.08,FI3,茄子-日本種,104,台北二,42.2,10.5,5,15.8,127
107.06.08,FJ1,蕃茄-黑柿,104,台北二,33.5,16.8,7.4,18.3,1097
107.06.08,FJ3,蕃茄-牛蕃茄,104,台北二,26.9,18.7,10.5,18.7,12814
107.06.08,FK0,甜椒-其他,104,台北二,50,50,26.8,45.4,71
107.06.08,FK3,甜椒-新香,104,台北二,55,40.4,28,40.9,63
107.06.08,FK4,甜椒-彩色種,104,台北二,79.9,35.2,12.5,39.6,1978
107.06.08,FK5,甜椒-青椒,104,台北二,40.1,24.2,6.6,23.9,3337
107.06.08,FL2,豌豆-紅花,104,台北二,100,100,100,100,40
107.06.08,FL6,豌豆-甜豌豆,104,台北二,100,100,100,100,60
107.06.08,FL9,豌豆-進口,104,台北二,93.6,57.4,48.7,62.9,468
107.06.08,FM1,菜豆-白色,104,台北二,15,15,15,15,63
107.06.08,FM2,菜豆-青色,104,台北二,39.6,28.2,16.5,28.1,2496
107.06.08,FM3,菜豆-紅色,104,台北二,21,15.1,10,15.3,304
107.06.08,FN1,敏豆-白豆,104,台北二,97.6,49.8,19.2,53.2,2496
107.06.08,FN3,敏豆-粉豆,104,台北二,25,25,25,25,12
107.06.08,FN5,敏豆-醜豆,104,台北二,60.2,42.9,15,40.8,265
107.06.08,FQ1,毛豆-豆莢,104,台北二,36.1,25,23.7,27,229
107.06.08,FQ2,毛豆-豆仁,104,台北二,115,96.9,65,94.2,72
107.06.08,FR1,青花苔,104,台北二,58,58,58,58,100
107.06.08,FR9,青花苔-進口,104,台北二,100,71.3,38.6,70.5,3150
107.06.08,FS1,越瓜,104,台北二,15,15,15,15,40
107.06.08,FS2,越瓜-加工,104,台北二,40,40,40,40,20
107.06.08,FT1,南瓜-木瓜形,104,台北二,15.4,10.6,5.6,10.6,3764
107.06.08,FT2,南瓜-圓形,104,台北二,16,12.2,10.5,12.6,658
107.06.08,FT3,南瓜-黃如意,104,台北二,28,19.1,7,18.5,166
107.06.08,FT5,南瓜-青如意,104,台北二,40.5,30.9,18.6,30.4,444
107.06.08,FT6,南瓜-東昇,104,台北二,39.7,36,26.6,34.8,740
107.06.08,FT7,南瓜-栗子,104,台北二,43.8,29.5,28,32,339
107.06.08,FT9,南瓜-進口,104,台北二,40,40,40,40,30
107.06.08,FU1,隼人瓜,104,台北二,14,10.7,8,10.8,797
107.06.08,FU2,隼人瓜苗-瓜苗,104,台北二,33.7,27.1,21.1,27.2,3086
107.06.08,FU3,石蓮花,104,台北二,24,24,24,24,10
107.06.08,FV0,辣椒-其他,104,台北二,80,80,80,80,5
107.06.08,FV1,辣椒-紅小,104,台北二,88.6,50.6,20.7,52.2,538
107.06.08,FV2,辣椒-青小,104,台北二,102,92.3,90,93.8,16
107.06.08,FV4,辣椒-朝天椒,104,台北二,43.7,21,13.5,24.1,970
107.06.08,FV5,辣椒-青龍,104,台北二,30,30,30,30,39
107.06.08,FV6,辣椒-糯米椒,104,台北二,94,63.8,33.8,63.8,328
107.06.08,FW1,金針花,104,台北二,176.2,148.6,120,148.4,37
107.06.08,FY0,玉米-其他,104,台北二,7,7,6.1,6.8,197
107.06.08,FY3,玉米-超甜白,104,台北二,17.6,14.8,8.8,14.1,1295
107.06.08,FY4,玉米-玉米筍,104,台北二,24.2,12.4,7.8,13.9,1091
107.06.08,FY5,玉米-糯米(黑),104,台北二,12,10.4,7.1,10,1080
107.06.08,FY6,玉米-甜軟殼,104,台北二,9.6,6,3.9,6.3,6480
107.06.08,FY7,玉米-糯米(白),104,台北二,11.9,8.4,5.5,8.5,542
107.06.08,FY9,玉米-進口,104,台北二,110,108.1,45.8,96,398
107.06.08,FZ1,落花生-生落花生,104,台北二,42.2,36.9,30.2,36.6,999
107.06.08,FZ2,落花生-熟落花生,104,台北二,80,80,80,80,60
107.06.08,G3,酪梨,104,台北二,127.5,101.1,81.7,102.5,355
107.06.08,G49,奇異果-進口,104,台北二,78.4,59.7,39.3,59.3,6353
107.06.08,G9,波羅蜜,104,台北二,33,20,12.8,21.1,549
107.06.08,H4,葡萄柚-紅肉,104,台北二,28,19.2,8,18.7,418
107.06.08,H49,葡萄柚-進口紅肉,104,台北二,31.1,28.9,26.7,28.9,2100
107.06.08,I1,木瓜-網室紅肉,104,台北二,18.2,13.5,10,13.8,21943
107.06.08,I3,木瓜-日昇種,104,台北二,50,37,22.5,36.7,318
107.06.08,I4,木瓜-青木瓜,104,台北二,19.7,13.3,10,13.9,719
107.06.08,J0,荔枝-其他,104,台北二,120,85,45,84,180
107.06.08,J1,荔枝-玉荷包,104,台北二,138.5,114.3,80.5,112.4,5121
107.06.08,J2,荔枝-黑葉,104,台北二,51,37.1,24.1,37.3,2161
107.06.08,J3,荔枝-糯米,104,台北二,70,68.5,65,68.1,96
107.06.08,J4,荔枝-竹葉黑,104,台北二,58,44.8,32,44.9,2689
107.06.08,LA0,甘藍-其他,104,台北二,3,3,3,3,100
107.06.08,LA1,甘藍-初秋,104,台北二,17.4,10.8,4.5,10.9,52160
107.06.08,LA2,甘藍-改良種,104,台北二,13,6.8,2.4,7.1,26480
107.06.08,LA4,甘藍-紫色,104,台北二,15,9.4,2.6,9.1,440
107.06.08,LA6,甘藍-甘藍芽,104,台北二,39.7,10,8.7,15.7,478
107.06.08,LA7,甘藍-改良尖,104,台北二,6.3,5.2,4,5.2,586
107.06.08,LA9,甘藍-進口,104,台北二,5,4.7,4,4.6,840
107.06.08,LB12,小白菜-土白菜,104,台北二,27,18.7,5.8,17.8,1933
107.06.08,LB22,小白菜-蚵仔白,104,台北二,17.4,11.9,6,11.8,8166
107.06.08,LB3,小白菜-奶油白,104,台北二,6,6,6,6,20
107.06.08,LB8,小白菜-水耕,104,台北二,35,35,35,35,27
107.06.08,LC0,包心白菜-其他,104,台北二,21.5,12,9.1,13.3,2067
107.06.08,LC1,包心白菜-包白,104,台北二,16.8,9.5,2.7,9.6,7482
107.06.08,LC3,包心白菜-包頭蓮,104,台北二,12,12,12,12,600
107.06.08,LC6,包心白菜-冬白芽,104,台北二,30,28.5,27,28.5,50
107.06.08,LC9,包心白-進口,104,台北二,25.3,20.1,15.1,20.2,2732
107.06.08,LD1,青江白菜-小梗,104,台北二,20.4,11.4,6.4,12.2,7571
107.06.08,LE1,皇宮菜-小葉,104,台北二,41.6,22.7,12.7,24.5,1069
107.06.08,LE2,皇宮菜-大葉,104,台北二,12,10.3,7,10,109
107.06.08,LF2,蕹菜-小葉,104,台北二,30.4,21.2,13,21.4,7929
107.06.08,LF3,蕹菜-水蕹菜,104,台北二,32,27.1,20.1,26.7,436
107.06.08,LG2,芹菜-白梗,104,台北二,64.4,44.5,24.6,44.5,1908
107.06.08,LG3,芹菜-西洋芹菜,104,台北二,17,14.5,10,14.1,370
107.06.08,LG9,芹菜-進口,104,台北二,36,32.5,30,32.7,825
107.06.08,LH2,菠菜-角葉,104,台北二,59.4,40.3,17.4,39.5,1375
107.06.08,LI0,萵苣菜-其他,104,台北二,80,80,74.6,78.9,223
107.06.08,LI1,萵苣菜-廣東萵,104,台北二,20,13.2,9.4,13.8,176
107.06.08,LI2,萵苣菜-結球萵,104,台北二,36.4,21.1,7.6,21.5,1474
107.06.08,LI3,萵苣菜-本島圓葉,104,台北二,40.6,27.5,13.9,27.4,1412
107.06.08,LI5,萵苣菜-油麥菜,104,台北二,22.9,15.3,6.5,15.1,7128
107.06.08,LI6,萵苣菜-蘿美,104,台北二,67.8,22.2,8,28.5,916
107.06.08,LI7,萵苣菜-紅捲綠捲,104,台北二,28.1,7.6,3.5,10.8,131
107.06.08,LI8,萵苣菜-水耕,104,台北二,57.7,42.6,30.6,43.2,1755
107.06.08,LI9,萵苣菜-進口,104,台北二,47,47,47,47,200
107.06.08,LJ3,芥菜-大芥菜,104,台北二,31,31,31,31,20
107.06.08,LJ4,芥菜-小芥菜,104,台北二,31.7,25.8,18.3,25.5,580
107.06.08,LK2,芥藍菜,104,台北二,28.2,14.5,8.5,16.1,1775
107.06.08,LK3,芥藍菜-芥藍芽,104,台北二,57.6,36.4,18.1,37,1024
107.06.08,LM1,莧菜-紅莧菜,104,台北二,21.1,14.4,8.9,14.7,565
107.06.08,LM2,莧菜-白莧菜,104,台北二,21.1,17.6,11.1,17,2049
107.06.08,LN1,油菜,104,台北二,20.3,14.2,7.7,14.1,3855
107.06.08,LO1,甘藷葉,104,台北二,39.1,24.4,11.8,24.8,6294
107.06.08,LP1,芫荽,104,台北二,240,175.3,71.4,167.5,301
107.06.08,LP2,九層塔,104,台北二,29.4,13.5,5.5,15,1080
107.06.08,LP3,羅勒,104,台北二,45,42.5,40,42.5,12
107.06.08,LQ1,紅鳳菜-紅鳳菜,104,台北二,41.3,31.6,13.2,29.9,677
107.06.08,LS1,茴香,104,台北二,52,52,52,52,15
107.06.08,LT2,海菜-海帶,104,台北二,45,45,41.2,44.2,118
107.06.08,LT3,海菜-水蓮,104,台北二,90,65.8,55.6,68.6,389
107.06.08,LV1,巴西利,104,台北二,48,45,42,45,52
107.06.08,LX1,蕨菜-過貓,104,台北二,63,61.6,36.5,56.9,80
107.06.08,LX2,蕨菜-山蘇,104,台北二,150,150,150,150,36
107.06.08,LZ2,藤川七-川七葉,104,台北二,41.6,37,22.7,35.1,110
107.06.08,M3,楊桃-馬來亞種,104,台北二,24.6,15.7,7.5,15.8,99
107.06.08,MA1,洋菇,104,台北二,140,112.5,50,105.5,73
107.06.08,MA2,洋菇(盒)-盒裝,104,台北二,100.9,20.3,5.4,33.4,1091
107.06.08,MB1,草菇,104,台北二,110,87.1,74.4,89.2,36
107.06.08,MC0,濕木耳-其他,104,台北二,40,40,40,40,2
107.06.08,MC1,濕木耳,104,台北二,78.1,60.6,29.4,57.9,1050
107.06.08,MC2,濕木耳(盒)-盒裝,104,台北二,35.1,5.1,5,11.1,132
107.06.08,MD1,溼香菇,104,台北二,130,128.3,62.3,115.4,689
107.06.08,ME1,金絲菇,104,台北二,33.1,23.4,2.5,21.1,1090
107.06.08,ME2,金絲菇(盒)-盒裝,104,台北二,14.2,2.8,1.5,4.8,2265
107.06.08,MF1,蠔菇-鮑魚菇,104,台北二,59.1,32.8,27,36.9,157
107.06.08,MF2,蠔菇(盒)-盒裝,104,台北二,5,5,5,5,40
107.06.08,MI1,秀珍菇,104,台北二,76,71.7,6.7,59.6,216
107.06.08,MJ1,杏鮑菇,104,台北二,84.9,50,27.2,52.4,2234
107.06.08,MK1,鴻禧菇,104,台北二,193,128.8,67.5,129.4,67
107.06.08,MK2,鴻禧菇-盒裝,104,台北二,15.7,10.1,4,10,1240
107.06.08,ML1,珊瑚菇,104,台北二,42,42,42,42,1
107.06.08,ML2,珊瑚菇-盒裝,104,台北二,8.2,7.1,6,7.1,124
107.06.08,MN1,柳松菇,104,台北二,180,96.5,85,110.9,44
107.06.08,MN2,柳松菇-盒裝,104,台北二,40,40,40,40,3
107.06.08,MX1,其他菇類-其他菇類,104,台北二,39.7,14.4,8.6,18.3,846
107.06.08,N2,李-桃接李,104,台北二,45,45,45,45,45
107.06.08,N3,李-紅肉李,104,台北二,69.9,31.5,13.2,35.5,2325
107.06.08,N9,李-進口,104,台北二,60,52.9,44.4,52.6,19
107.06.08,O2,梨-秋水梨,104,台北二,86.1,65.7,42.5,65.2,2692
107.06.08,O5,梨-豐水梨,104,台北二,82.4,55.7,32.1,56.3,3359
107.06.08,O8,梨-4029梨,104,台北二,70,58.7,26.1,54.5,166
107.06.08,OA1,鹹菜-清心,104,台北二,30,30,30,30,360
107.06.08,OA2,鹹菜-帶葉,104,台北二,25,25,25,25,1745
107.06.08,OB1,雪裡紅,104,台北二,30,30,30,30,240
107.06.08,OC1,其他蔬菜,104,台北二,30,27.5,25,27.5,600
107.06.08,OD1,蘿蔔乾,104,台北二,30,30,30,30,100
107.06.08,OE2,醃瓜-漬,104,台北二,18,18,18,18,114
107.06.08,OG1,熟筍-桂竹筍,104,台北二,43,40.5,26.6,38.2,699
107.06.08,OG2,熟筍-箭竹筍,104,台北二,80,80,80,80,100
107.06.08,OI4,筍茸,104,台北二,25,25,25,25,252
107.06.08,OL1,朴菜,104,台北二,25,25,25,25,120
107.06.08,OX1,其他蔬菜,104,台北二,85.4,30.2,18.2,38.8,3034
107.06.08,P1,番石榴-珍珠芭,104,台北二,42.8,32.8,18.5,31.9,19576
107.06.08,P2,番石榴-紅心,104,台北二,41,41,41,41,20
107.06.08,P3,番石榴-帝王芭,104,台北二,74.1,42.8,20,44.5,194
107.06.08,Q0,蓮霧-其他,104,台北二,135.2,68.9,48.3,78.1,698
107.06.08,Q1,蓮霧-紅蓮霧,104,台北二,49.4,29.8,19.3,31.6,739
107.06.08,Q2,蓮霧-子彈型,104,台北二,49.7,38.5,19.4,36.9,459
107.06.08,Q4,蓮霧-巴掌蓮霧,104,台北二,54.8,37.9,20.4,37.8,710
107.06.08,R0,芒果-其他,104,台北二,99.6,65.7,28.8,65.1,249
107.06.08,R1,芒果-愛文,104,台北二,86.6,59.1,37.8,60.4,28944
107.06.08,R2,芒果-紅龍玉文,104,台北二,59.1,33,18.3,35.3,476
107.06.08,R3,芒果-本島,104,台北二,66.2,47.6,22.7,46.3,2581
107.06.08,R5,芒果-黑香金興,104,台北二,147.5,101.4,57.5,101.8,342
107.06.08,R6,芒果-金煌,104,台北二,48,33.7,18.9,33.6,5502
107.06.08,R8,芒果-芒果青,104,台北二,25.2,19.5,9.9,18.7,1199
107.06.08,S1,葡萄-巨峰,104,台北二,193,110.7,69.4,118.9,1462
107.06.08,S9,葡萄-進口,104,台北二,276.4,58.3,52.7,100.8,1653
107.06.08,SA32,蘿蔔-矸仔,104,台北二,9.7,7.2,2.5,6.8,3240
107.06.08,SA7,蘿蔔-甜菜根,104,台北二,20,15.8,15,16.5,100
107.06.08,SA9,蘿蔔-進口,104,台北二,19.2,14.5,10.9,14.7,10480
107.06.08,SB1,胡蘿蔔-未洗,104,台北二,28,22.5,11,21.3,340
107.06.08,SB2,胡蘿蔔-清洗,104,台北二,18.1,12.9,8.6,13.1,10320
107.06.08,SC1,馬鈴薯-本產,104,台北二,29.2,22.8,11,21.7,2815
107.06.08,SD1,洋蔥-本產,104,台北二,13.6,11.3,8.9,11.3,5934
107.06.08,SD9,洋蔥-進口,104,台北二,26.4,5.8,2,9.1,1911
107.06.08,SE1,青蔥-日蔥,104,台北二,69.6,56.7,45.2,57,1445
107.06.08,SE5,青蔥-紅蔥頭,104,台北二,40,27.5,13.3,27.1,293
107.06.08,SE6,青蔥-粉蔥,104,台北二,47.1,38.6,27.8,38.1,7196
107.06.08,SF1,韭菜-白頭,104,台北二,42.8,30.4,17.3,30.2,1280
107.06.08,SF2,韭菜-韭菜黃,104,台北二,116.5,98.2,70.2,96.3,324
107.06.08,SF3,韭菜-韭菜花,104,台北二,62.6,51.9,38.3,51.3,477
107.06.08,SF4,韭菜-青頭,104,台北二,28.2,20.5,11.8,20.3,432
107.06.08,SG2,大蒜-軟梗,104,台北二,102.7,50.2,15.4,53.7,930
107.06.08,SG5,大蒜-蒜頭,104,台北二,57.5,53.9,42.5,52.4,247
107.06.08,SG6,大蒜-蒜仁,104,台北二,70,70,70,70,1137
107.06.08,SG7,大蒜-蒜瓣,104,台北二,110,77.4,36,75.6,156
107.06.08,SH1,竹筍-麻竹筍,104,台北二,48,38.9,30,39,254
107.06.08,SH2,竹筍-綠竹筍,104,台北二,113.7,80.1,58.4,82.5,3385
107.06.08,SH5,竹筍-烏殼綠,104,台北二,45.8,34.1,28,35.2,5420
107.06.08,SH7,竹筍-去殼,104,台北二,33,33,33,33,20
107.06.08,SJ2,芋-檳榔心芋,104,台北二,52.6,44.5,18.5,40.9,2618
107.06.08,SJ4,芋-芋莖,104,台北二,12,12,12,12,18
107.06.08,SK2,荸薺-加工,104,台北二,65,65,65,65,112
107.06.08,SL1,豆薯,104,台北二,13.8,9.2,7.1,9.7,875
107.06.08,SM1,牛蒡,104,台北二,35,35,35,35,48
107.06.08,SM9,牛蒡-進口,104,台北二,30,26.1,25,26.7,300
107.06.08,SN1,蓮藕,104,台北二,65,44,9.7,41.4,726
107.06.08,SN2,蓮藕-蓮子,104,台北二,350,311.1,300,316.7,15
107.06.08,SO0,甘薯-其他,104,台北二,9.8,3.9,3,4.9,2255
107.06.08,SO1,甘薯-改良種,104,台北二,54.2,9.5,2.1,17,4996
107.06.08,SO2,甘薯-芋仔甘藷,104,台北二,10,8.3,5.7,8.1,348
107.06.08,SO3,甘藷-臺農66號,104,台北二,10.3,5.5,4,6.2,4110
107.06.08,SP1,薑-老薑,104,台北二,78.3,58.8,21.7,55.3,1993
107.06.08,SP2,薑-嫩薑,104,台北二,86.2,70.1,56,70.5,1212
107.06.08,SP3,薑-粉薑,104,台北二,58.9,51.5,50,52.7,234
107.06.08,SQ1,茭白筍-帶殼,104,台北二,67,52.6,39,52.8,1440
107.06.08,SQ3,茭白筍-去殼,104,台北二,129.7,101.4,52.3,97.2,1081
107.06.08,ST1,蕎頭-露蕎,104,台北二,26,26,25,25.8,100
107.06.08,SU2,薯蕷-白薯蕷,104,台北二,51.2,36.3,25.7,37.1,772
107.06.08,SU9,薯蕷-進口,104,台北二,150,150,113.8,142.8,200
107.06.08,SV1,蘆筍-白蘆筍,104,台北二,162.4,106.8,71.4,110.8,107
107.06.08,SV2,蘆筍-綠蘆筍,104,台北二,228.4,129.7,75.1,138.5,261
107.06.08,SV3,蘆筍-蘆筍花,104,台北二,135,127.5,103.3,124.2,18
107.06.08,SV9,蘆筍-進口,104,台北二,175.2,132.7,125.4,139.8,238
107.06.08,SW1,球莖甘藍,104,台北二,15,12.6,5,11.6,660
107.06.08,SX1,芽菜類-綠豆芽,104,台北二,12,12,12,12,1558
107.06.08,SX2,芽菜類-黃豆牙,104,台北二,23.6,20,20,20.7,220
107.06.08,SX3,芽菜類-豌豆嬰,104,台北二,71.3,50.7,50,54.7,36
107.06.08,SX4,芽菜類-苜宿芽,104,台北二,50,50,50,50,69
107.06.08,SZ1,半天筍,104,台北二,45,44,43,44,14
107.06.08,SZ3,金針筍,104,台北二,90.5,24.3,18,36.3,11
107.06.08,SZ6,半天花,104,台北二,100,100,100,100,9
107.06.08,SZ7,晚香玉筍,104,台北二,90,90,90,90,3
107.06.08,T1,西瓜-大西瓜,104,台北二,18,14.2,7.2,13.6,18925
107.06.08,T4,西瓜-鳳光、英妙,104,台北二,7,6.1,3.4,5.7,640
107.06.08,T5,西瓜-黃肉,104,台北二,19.3,14.2,10.2,14.4,3667
107.06.08,T7,西瓜-秀鈴,104,台北二,11.5,10,6.5,9.6,6627
107.06.08,V1,甜瓜-美濃,104,台北二,45.1,25.4,6.4,25.5,2222
107.06.08,V2,甜瓜-溫室吊瓜,104,台北二,103.1,54.6,16.6,56.7,1107
107.06.08,W0,洋香瓜-其他,104,台北二,204.6,134.5,69.5,135.5,524
107.06.08,W1,洋香瓜-網狀紅肉,104,台北二,39.4,30.7,13.3,28.9,3204
107.06.08,W2,洋香瓜-網狀綠肉,104,台北二,32,17.3,8.7,18.5,2439
107.06.08,W7,洋香瓜-光面白肉,104,台北二,24,18.6,10.8,18.1,801
107.06.08,W9,洋香瓜-進口,104,台北二,291.7,262.7,250,265.9,136
107.06.08,X49,蘋果-金冠(進口),104,台北二,36.7,36.7,36.7,36.7,220
107.06.08,X69,蘋果-富士(進口),104,台北二,99.2,49.5,27.4,55,14146
107.06.08,Y0,桃子-其他,104,台北二,80.8,44.7,35,50,94
107.06.08,Y19,水蜜桃-進口,104,台北二,193,150,135,155.6,430
107.06.08,Y2,桃子-鶯歌桃,104,台北二,40,31.4,25,31.8,38
107.06.08,Y5,桃子-福壽桃,104,台北二,55,36.3,19.3,36.6,487
107.06.08,Y9,桃子-進口,104,台北二,205.2,92.7,61.1,108.9,4432
107.06.08,FA100,康乃馨-紅,105,台北市場,26,26,26,26,26
107.06.08,FA104,康乃馨-櫻紅,105,台北市場,23,23,23,23,30
107.06.08,FA800,康乃馨-多朵(混色),105,台北市場,26,25,18,24.1,126
107.06.08,FA810,康乃馨-多朵紅,105,台北市場,28,25,23,25.4,124
107.06.08,FA840,康乃馨-多朵粉,105,台北市場,29,29,29,29,90
107.06.08,FA910,小可愛-紅,105,台北市場,24,24,24,24,40
107.06.08,FA985,美女撫子-綠石竹,105,台北市場,144,113,65,109.6,124
107.06.08,FA987,美女撫子-紫,105,台北市場,31,28,25,28,40
107.06.08,FB000,火鶴花-火鶴花,105,台北市場,15,12,8,11.6,1335
107.06.08,FB001,火鶴花-混色,105,台北市場,6,6,6,6,36
107.06.08,FB105,火鶴花-紅綠邊,105,台北市場,6,6,6,6,100
107.06.08,FB106,火鶴花-丘比特,105,台北市場,16,11,6,11.1,2688
107.06.08,FB108,火鶴花-千里達,105,台北市場,10,7,5,7.5,675
107.06.08,FB111,火鶴花-月光,105,台北市場,10,7,5,7.1,1480
107.06.08,FB302,火鶴花-黃瑪莉,105,台北市場,14,13,13,13.3,105
107.06.08,FB401,火鶴花-夏粉　,105,台北市場,6,5,5,5.2,175
107.06.08,FB403,火鶴花-珊瑚粉,105,台北市場,5,5,5,5,100
107.06.08,FB405,火鶴花-粉綠邊,105,台北市場,7,6,5,6.1,185
107.06.08,FB407,火鶴花-夢幻,105,台北市場,11,9,5,8.6,810
107.06.08,FB412,火鶴花-總統,105,台北市場,12,12,12,12,40
107.06.08,FB415,火鶴花-羅莎,105,台北市場,15,11,7,10.7,1549
107.06.08,FB416,火鶴花-花仙子,105,台北市場,9,9,6,8.4,540
107.06.08,FB419,火鶴花-太極,105,台北市場,7,5,5,5.6,195
107.06.08,FB420,火鶴花-小紅莓,105,台北市場,11,9,5,8.4,277
107.06.08,FB500,火鶴花-翠綠,105,台北市場,11,7,5,7.4,1189
107.06.08,FB502,火鶴花-綠紅心,105,台北市場,11,7,5,7.6,345
107.06.08,FB505,火鶴花-香檳,105,台北市場,8,7,5,6.5,80
107.06.08,FB601,火鶴花-白青心,105,台北市場,15,14,10,13.2,144
107.06.08,FB606,火鶴花-辛巴,105,台北市場,8,6,6,6.5,180
107.06.08,FB607,火鶴花-月亮女神,105,台北市場,6,5,5,5.4,231
107.06.08,FB700,火鶴花-花紫,105,台北市場,8,7,5,6.6,351
107.06.08,FB801,火鶴花-咖啡條紋,105,台北市場,8,5,5,5.7,175
107.06.08,FB802,火鶴花-大地,105,台北市場,7,6,5,6,112
107.06.08,FC001,大菊-混合色,105,台北市場,77,40,30,45.7,45
107.06.08,FC300,大菊-黃,105,台北市場,67,67,67,67,50
107.06.08,FC316,大菊-黃精競,105,台北市場,85,67,53,67.7,474
107.06.08,FC613,大菊-白天星,105,台北市場,92,53,17,53.5,2073
107.06.08,FC800,大菊-  染色大菊,105,台北市場,100,94,81,92.3,282
107.06.08,FC802,染大菊-芭迪卡,105,台北市場,93,91,83,89.9,168
107.06.08,FC803,染大菊-牡丹,105,台北市場,304,304,299,303,40
107.06.08,FC805,染大菊-白東洋,105,台北市場,73,69,55,66.9,106
107.06.08,FD000,小菊-小菊,105,台北市場,65,65,65,65,12
107.06.08,FD131,小菊-小紅娘,105,台北市場,54,45,32,44.3,297
107.06.08,FD138,小菊-卡洛琳,105,台北市場,78,60,37,58.9,1002
107.06.08,FD200,小菊-金,105,台北市場,45,37,27,36.8,436
107.06.08,FD308,小菊-黃丁字菊,105,台北市場,75,67,58,66.7,189
107.06.08,FD321,小菊-吉祥黃,105,台北市場,56,48,40,48,120
107.06.08,FD400,小菊-粉,105,台北市場,53,42,32,42.3,560
107.06.08,FD422,小菊-吉祥小粉,105,台北市場,64,50,34,49.5,367
107.06.08,FD423,小菊-粉日記,105,台北市場,55,50,50,51.1,115
