序號, 樂透1, 樂透2, 樂透3, 樂透4, 樂透5, 樂透6
113,14,12,23,26,5,30
114,9,35,22,38,33,4
115,31,24,18,3,4,17
116,3,22,9,30,33,31
117,30,16,31,33,25,4
118,13,27,33,32,35,30
119,23,7,2,19,38,22
120,22,34,5,6,7,25
121,23,5,20,9,12,32
122,37,16,26,10,3,35
123,13,11,31,9,27,24
124,31,37,10,34,27,33
125,27,2,1,16,8,11
126,20,13,12,26,2,10
127,29,7,24,17,21,35
128,32,33,17,1,31,22
129,34,24,6,38,17,10
130,32,2,12,16,15,1
131,23,36,24,12,31,8
132,23,38,14,34,16,26
133,1,20,31,33,13,24
134,12,16,32,1,21,27
135,35,3,28,8,7,20
136,7,17,8,29,5,10
137,35,8,25,26,9,21
138,29,37,33,24,18,7
139,4,20,26,3,33,10
140,17,24,37,12,35,34
141,18,3,28,33,9,5
142,34,35,17,20,18,1
143,32,9,31,20,3,37
144,38,27,17,33,34,8
145,28,12,8,20,32,15
146,21,20,32,28,25,3
147,23,38,13,10,20,2
148,38,24,20,23,1,26
149,10,32,15,14,4,35
150,28,3,8,4,18,34
151,18,13,37,28,6,36
152,24,38,37,3,35,28
153,33,7,28,21,13,6
154,8,15,1,30,9,3
155,28,25,5,3,32,23
156,23,10,38,1,17,28
157,26,4,33,5,31,14
158,30,33,35,3,8,11
159,25,23,32,8,26,28
160,26,6,10,31,2,14
161,5,1,6,8,13,21
162,11,32,8,31,18,7
163,19,34,11,25,6,5
164,35,19,1,27,28,12
165,11,2,21,23,4,32
166,24,10,38,13,21,30
167,4,17,33,24,15,8
168,28,10,1,31,35,3
169,35,33,38,19,5,13
170,17,14,15,20,11,2
171,7,36,31,22,9,19
172,18,7,6,23,15,34
173,27,17,4,12,7,30
174,10,8,20,12,27,19
175,10,31,3,9,29,36
176,20,28,29,33,13,7
177,17,2,8,32,14,34
178,3,6,33,30,12,35
179,33,22,24,30,29,25
180,34,36,19,17,6,28
181,21,20,4,2,1,22
182,14,2,12,28,35,1
183,10,26,19,18,16,7
184,38,17,5,10,4,30
185,4,29,23,1,31,21
186,32,27,10,31,1,19
187,23,18,21,9,30,27
188,22,4,17,20,5,8
189,35,19,1,3,29,24
190,26,6,17,12,15,31
191,38,20,32,19,12,4
192,13,35,33,26,36,15
193,22,26,17,13,12,4
194,9,7,14,37,22,12
195,18,34,22,37,12,26
196,19,2,24,8,33,10
197,32,27,1,2,5,17
198,9,20,32,35,16,6
199,10,26,4,12,15,5
200,7,4,25,26,33,11
201,21,37,13,11,2,32
202,27,1,31,25,12,35
203,14,22,36,2,7,19
204,31,5,30,15,34,3
205,31,33,37,17,10,29
206,11,24,26,32,9,10
207,31,25,27,12,22,7
208,33,32,37,1,2,31
209,33,36,18,24,27,23
210,22,20,3,6,30,32
211,32,14,25,27,30,2
212,16,3,2,22,27,9
213,5,10,3,34,17,35
214,33,37,30,10,5,8
215,22,6,27,19,12,5
216,7,37,24,15,14,11
217,22,9,7,3,12,36
218,28,12,14,2,36,6
219,18,15,29,11,23,26
220,29,21,3,7,15,17
221,19,18,24,31,32,9
222,27,28,3,33,35,2
223,3,11,33,1,27,14
224,25,29,16,10,6,17
225,3,32,11,16,33,34
226,38,22,8,10,35,27
227,29,7,37,32,6,21
228,1,17,15,29,28,25
229,27,35,15,8,38,31
230,2,6,31,8,35,16
231,30,33,21,22,35,9
232,33,34,13,36,4,22
233,14,10,5,16,4,6
234,17,11,16,9,5,1
235,34,8,20,38,14,6
236,34,33,16,29,36,3
237,12,20,34,27,5,6
238,31,23,18,15,36,4
239,18,21,9,22,1,27
240,33,35,38,9,14,16
241,34,11,12,24,14,9
242,17,29,28,25,35,33
243,31,38,11,17,32,33
244,5,12,34,15,11,7
245,8,7,18,3,22,34
246,8,31,6,17,32,4
247,22,4,37,12,13,29
248,34,37,5,10,8,31
249,21,23,36,14,33,13
250,15,36,4,10,24,12
251,4,18,15,17,33,2
252,19,27,16,4,6,25
253,6,5,17,13,11,26
254,26,3,7,36,21,24
255,28,35,32,25,38,9
256,31,34,22,2,24,35
257,20,4,23,33,14,26
258,9,19,29,5,27,25
259,24,6,33,8,32,2
260,34,4,26,16,11,15
261,27,12,8,17,30,24
262,7,34,35,15,20,19
263,7,6,2,33,36,30
264,25,12,37,5,33,26
265,4,15,31,26,35,6
266,7,19,35,30,16,21
267,31,28,26,5,7,17
268,32,31,28,8,19,26
269,18,35,26,8,21,31
270,19,31,37,28,25,17
271,22,6,17,13,21,26
272,31,35,10,3,20,34
273,34,37,35,5,16,30
274,17,21,28,13,4,20
275,27,7,38,25,15,5
276,35,27,29,9,20,37
277,13,25,38,3,7,34
278,23,35,24,8,2,4
279,19,33,30,14,27,11
280,26,12,35,24,3,38
281,38,23,16,20,11,32
282,2,8,14,11,35,12
283,27,25,11,31,6,3
284,29,5,34,25,26,35
285,16,23,29,11,4,21
286,35,21,31,34,6,19
287,10,36,8,1,38,7
288,9,29,31,2,17,13
289,36,23,35,25,24,19
290,9,2,35,19,17,4
291,22,11,17,31,24,21
292,10,21,20,23,13,28
293,33,8,25,36,13,6
294,30,18,25,27,20,23
295,25,15,24,34,26,27
296,7,33,19,25,30,13
297,36,12,20,15,3,9
298,16,31,4,35,30,23
299,12,7,26,14,30,25
300,13,7,17,28,6,38
301,33,6,34,16,36,18
302,15,14,29,1,24,32
303,8,29,5,6,1,10
304,27,5,35,21,14,20
305,35,9,29,19,4,17
306,10,21,9,22,12,1
307,25,24,23,35,6,16
308,34,1,14,4,13,15
309,34,22,37,35,2,24
310,32,21,36,38,12,7
311,6,13,10,15,12,7
312,9,24,13,32,27,29
313,10,28,3,36,27,35
314,8,20,23,32,37,18
315,3,38,18,20,14,36
316,11,33,14,21,29,38
317,8,28,33,9,16,12
318,22,28,14,7,1,19
319,5,38,23,22,25,14
320,18,4,16,23,3,33
321,8,36,38,13,37,4
322,8,17,37,9,19,34
323,7,3,29,33,6,13
324,27,36,13,16,4,30
325,6,38,1,22,8,27
326,29,36,13,4,38,24
327,4,11,36,24,8,33
328,5,28,14,4,7,29
329,7,30,9,25,36,26
330,6,29,38,21,35,15
331,3,14,9,1,37,29
332,31,35,8,5,26,2
333,25,5,24,8,19,32
334,9,26,3,23,38,15
335,23,20,21,30,13,17
336,12,10,6,5,14,13
337,3,5,2,4,6,24
338,16,36,17,21,38,9
339,27,26,29,35,9,30
340,19,1,5,20,12,28
341,16,11,17,3,30,13
342,14,8,12,18,30,22
343,6,33,27,20,7,15
344,21,20,3,33,16,38
345,15,8,11,29,38,3
346,27,26,34,13,7,3
347,1,37,8,26,33,21
348,15,37,36,2,7,28
349,36,6,24,15,18,16
350,31,20,5,24,23,16
351,9,23,35,14,16,4
352,1,11,21,32,13,38
353,17,29,16,13,5,34
354,33,34,37,21,18,38
355,14,24,1,30,31,27
356,32,10,2,37,8,24
357,15,3,17,20,34,35
358,32,19,30,2,16,12
359,1,9,25,23,34,11
360,37,30,21,29,9,16
361,28,15,13,31,4,7
362,15,27,25,8,16,24
363,5,21,19,18,14,34
364,7,36,13,22,25,32
365,5,30,29,26,17,1
366,5,20,19,30,12,13
367,38,20,17,2,28,25
368,18,31,30,11,24,38
369,13,14,8,25,32,23
370,30,28,1,9,13,10
371,4,17,2,3,15,9
372,33,10,30,7,3,19
373,36,11,14,16,27,34
374,35,12,22,32,37,27
375,4,13,32,27,16,25
376,38,26,22,25,10,35
377,32,17,20,28,22,29
378,25,11,33,9,17,16
379,16,7,1,9,4,20
380,13,34,3,18,17,29
381,33,31,29,1,36,6
382,31,17,30,13,28,35
383,38,15,31,19,18,12
384,15,14,18,11,36,5
385,1,27,9,17,19,37
386,35,30,20,3,11,21
387,31,16,12,32,24,23
388,28,15,29,13,9,10
389,31,14,23,17,13,21
390,16,26,17,24,18,33
391,22,28,17,32,27,23
392,10,32,6,36,38,31
393,31,15,20,4,8,9
394,31,19,16,23,37,13
395,1,14,25,23,35,3
396,25,6,10,22,14,15
397,7,4,34,32,28,23
398,20,30,5,22,2,28
399,37,36,10,20,38,27
400,10,8,19,29,20,18
401,37,27,22,36,16,34
402,34,13,31,4,15,17
403,19,5,26,20,13,29
404,37,8,28,19,15,34
405,18,36,2,8,38,29
406,1,31,11,26,32,30
407,31,27,5,30,21,1
408,35,33,17,34,10,5
409,21,18,30,37,24,28
410,29,15,7,26,24,10
411,13,10,37,17,36,28
412,21,11,27,22,37,33
413,23,1,36,18,38,33
414,13,23,15,28,37,35
415,24,9,5,36,7,31
416,37,11,1,13,18,26
417,23,10,6,14,36,13
418,10,13,20,16,17,5
419,22,26,14,28,30,3
420,10,36,11,18,2,20
421,10,30,5,1,13,3
422,38,21,11,5,17,19
423,11,37,15,23,10,34
424,9,3,32,11,19,7
425,18,4,17,27,5,34
426,21,8,24,14,17,10
427,5,1,24,11,20,33
428,26,20,33,34,35,27
429,24,16,4,33,6,11
430,17,2,8,13,28,32
431,13,37,32,34,7,28
432,38,18,23,6,27,29
433,16,35,6,31,28,30
434,16,34,1,3,5,23
435,25,31,28,15,38,12
436,35,16,6,21,26,10
437,30,29,20,17,1,4
438,32,20,23,38,7,19
439,35,13,18,28,7,19
440,25,4,15,1,23,22
441,7,20,24,32,2,23
442,35,6,18,21,28,27
443,4,9,5,16,36,20
444,35,15,17,36,26,13
445,38,16,30,6,15,4
446,9,34,22,14,2,3
447,4,36,34,12,14,32
448,13,32,18,8,23,33
449,22,27,24,11,25,38
450,12,19,25,15,16,13
451,15,19,12,33,11,4
452,29,23,13,10,7,34
453,3,30,33,38,36,27
454,35,1,34,12,33,11
455,12,35,9,23,31,28
456,17,18,15,20,12,33
457,12,36,8,1,11,18
458,26,1,12,32,3,10
459,11,38,10,2,20,7
460,3,35,15,28,36,2
461,6,10,15,7,37,23
462,3,5,9,1,34,33
463,2,12,18,28,38,32
464,7,33,15,8,38,12
465,36,25,2,11,16,15
466,5,38,17,8,28,2
467,18,26,25,29,21,6
468,19,14,10,16,4,15
469,27,34,5,1,19,30
470,16,17,2,1,4,36
471,14,33,32,16,35,36
472,19,24,18,17,36,5
473,17,35,38,23,31,32
474,6,18,2,11,13,34
475,2,4,17,29,3,9
476,2,13,21,4,5,3
477,34,30,20,2,36,17
478,1,14,26,32,12,38
479,27,31,3,9,11,13
480,21,38,14,11,1,37
481,20,14,2,28,21,12
482,35,31,36,22,25,37
483,12,37,21,11,6,22
484,11,12,25,27,7,6
485,33,3,36,35,1,38
486,1,11,19,12,36,21
487,4,24,28,36,20,7
488,23,10,12,36,1,3
489,10,17,33,12,21,38
490,35,6,14,30,23,34
491,12,19,2,27,28,15
492,16,4,15,28,33,21
493,6,2,28,26,14,32
494,34,12,25,3,17,2
495,22,21,15,37,11,29
496,26,23,3,33,19,30
497,19,2,6,17,4,20
498,13,23,12,2,14,9
499,35,21,33,30,37,15
500,10,16,19,21,32,3
501,17,34,1,28,35,4
502,36,13,24,17,16,2
503,23,16,36,17,4,22
504,27,30,15,38,23,18
505,17,30,31,36,34,1
506,21,12,11,13,29,16
507,8,30,26,10,7,17
508,4,25,35,2,22,32
509,35,2,17,4,20,32
510,35,34,9,12,30,16
511,26,11,27,10,6,30
512,3,20,19,1,38,6
513,19,14,37,32,30,4
514,2,23,38,34,22,1
515,26,18,31,34,24,20
516,23,36,34,25,17,16
517,11,27,29,3,6,8
518,35,7,28,9,6,38
519,38,6,17,9,22,27
520,26,14,22,34,20,31
521,17,16,12,34,11,30
522,18,22,13,4,38,21
523,12,14,8,25,3,18
524,28,34,16,17,21,8
525,15,12,29,34,5,8
526,37,19,16,15,1,2
527,3,31,23,10,33,17
528,10,26,13,31,12,36
529,6,15,24,34,37,33
530,17,30,8,11,38,19
531,32,36,10,21,7,26
532,34,22,18,14,35,30
533,34,30,19,38,15,23
534,5,4,25,35,31,27
535,5,19,16,14,38,18
536,17,20,8,34,28,16
537,19,9,23,14,29,3
538,14,29,8,15,7,32
539,14,25,24,33,27,31
540,33,28,1,15,35,3
541,32,30,19,38,23,12
542,18,9,34,6,8,11
543,7,8,23,35,12,5
544,30,22,8,19,10,18
545,36,19,11,5,26,25
546,34,29,8,1,5,31
547,35,9,38,20,11,30
548,9,10,19,3,1,7
549,34,31,37,5,29,14
550,14,23,33,21,3,11
551,34,2,1,4,7,33
552,33,20,28,16,25,6
553,7,3,8,12,27,32
554,31,32,27,28,29,17
555,8,14,5,25,9,32
556,31,8,22,6,19,33
557,18,8,23,38,16,3
558,29,26,33,28,1,20
559,11,32,5,8,3,33
560,4,6,14,37,11,25
561,20,18,9,24,10,28
562,30,32,14,23,21,9
563,25,22,27,33,28,32
564,35,28,37,29,17,15
565,14,36,30,19,27,12
566,21,18,7,34,3,33
567,17,35,11,4,25,30
568,33,31,17,23,9,6
569,30,18,32,28,37,34
570,25,26,28,1,15,34
571,25,9,31,2,15,35
572,30,10,13,24,12,15
573,13,29,32,15,2,10
574,38,3,22,1,5,11
575,31,3,29,30,2,13
576,7,16,20,23,6,15
577,33,21,7,38,28,11
578,27,36,20,4,19,11
579,37,4,12,8,19,38
580,37,7,21,34,8,31
581,5,30,31,34,17,4
582,35,19,37,26,12,29
583,12,6,4,31,19,5
584,32,21,14,26,37,20
585,7,16,29,28,10,22
586,37,36,16,6,4,3
587,5,20,11,36,24,8
588,29,21,6,32,5,11
589,18,1,3,29,30,36
590,4,17,23,10,31,32
591,19,11,9,18,31,12
592,4,24,12,1,16,6
593,20,25,7,23,24,16
594,27,10,25,23,14,38
595,7,15,3,18,14,36
596,23,32,13,33,2,25
597,27,8,14,34,19,16
598,17,5,21,28,38,9
599,33,1,20,32,6,8
600,34,12,19,35,33,36
601,14,9,29,38,7,20
602,4,28,27,35,9,22
603,12,15,32,20,14,34
604,28,15,24,38,5,30
605,32,7,33,14,20,5
606,25,38,19,7,10,16
607,29,9,20,33,38,4
608,23,5,24,17,25,34
609,32,18,38,35,13,11
610,37,21,3,33,38,20
611,9,20,12,32,23,34
612,30,22,24,31,33,2
613,32,19,8,16,5,29
614,7,12,30,19,37,35
615,5,36,14,19,1,11
616,14,5,18,3,36,1
617,10,25,15,29,8,28
618,17,21,1,25,14,22
619,28,33,11,38,12,31
620,7,9,13,18,28,6
621,25,19,22,12,28,2
622,1,17,37,7,13,22
623,35,29,5,17,10,14
624,11,7,6,35,12,8
625,20,21,8,1,13,10
626,10,33,4,9,27,7
627,31,18,1,4,32,9
628,21,35,37,2,19,17
629,36,28,18,32,8,33
630,7,30,2,38,26,28
631,13,23,32,14,21,24
632,12,17,3,9,38,20
633,35,10,6,32,17,19
634,26,34,10,29,21,6
635,14,34,13,26,24,15
636,25,23,21,15,18,2
637,23,2,6,14,22,16
638,21,27,6,16,15,26
639,31,34,32,26,20,16
640,28,34,20,5,38,9
641,19,6,26,9,28,5
642,16,5,28,35,4,37
643,6,10,8,35,38,4
644,12,15,11,30,22,36
645,35,12,36,28,26,5
646,5,1,19,14,21,8
647,38,5,18,3,6,10
648,23,16,5,31,17,12
649,2,9,27,1,32,18
650,31,34,15,32,11,22
651,3,17,21,5,19,9
652,4,25,8,28,10,15
653,34,38,2,15,33,27
654,14,31,5,33,16,35
655,35,34,9,37,30,10
656,6,9,19,27,18,29
657,16,34,18,14,8,12
658,27,14,22,2,18,21
659,9,13,35,18,7,30
660,21,31,8,34,18,2
661,33,29,11,13,5,38
662,38,12,36,1,37,29
663,3,4,10,2,8,9
664,6,9,25,12,4,3
665,3,11,35,15,10,13
666,9,22,27,6,14,38
667,16,30,27,19,8,14
668,28,33,17,31,27,21
669,7,30,20,37,15,28
670,25,6,7,5,30,1
671,1,33,8,16,23,31
672,24,27,1,7,19,16
673,22,21,34,20,30,1
674,36,11,38,10,34,37
675,24,2,3,8,27,31
676,11,37,15,4,19,22
677,35,15,31,32,5,11
678,27,7,31,26,9,3
679,2,22,31,14,20,19
680,25,37,24,32,22,15
681,18,32,11,27,7,37
682,23,20,1,9,17,34
683,32,14,5,31,35,8
684,11,24,27,22,26,30
685,30,20,24,13,22,4
686,30,32,38,23,5,15
687,11,26,4,9,23,32
688,15,8,25,14,37,27
689,7,27,6,21,17,2
690,38,10,11,37,13,30
691,2,4,25,6,15,9
692,27,25,12,33,5,30
693,19,9,14,15,32,25
694,29,35,14,6,11,38
695,1,29,27,10,32,5
696,6,27,30,28,18,1
697,11,35,24,26,9,30
698,33,14,24,8,29,20
699,14,17,35,15,16,28
700,29,14,16,26,1,6
701,3,6,33,8,27,32
702,36,26,35,37,16,12
703,1,31,10,14,21,6
704,14,35,23,37,28,8
705,18,33,15,10,16,30
706,4,37,17,38,8,33
707,11,15,18,20,8,10
708,34,16,10,7,30,28
709,25,14,28,37,12,21
710,29,20,17,6,24,21
711,11,8,27,10,20,2
712,30,37,11,32,19,25
713,29,25,33,13,11,21
714,10,36,26,32,33,14
715,33,3,1,7,34,22
716,18,31,33,32,29,5
717,7,22,23,30,27,12
718,10,13,28,36,17,24
719,19,29,3,12,33,2
720,16,21,19,30,18,5
721,26,20,28,13,6,31
722,20,12,18,27,25,3
723,20,7,33,18,26,35
724,29,5,37,21,13,32
725,3,26,9,12,31,29
726,10,9,29,15,17,38
727,9,21,23,15,16,29
728,19,23,10,16,24,18
729,20,28,22,34,33,4
730,15,1,2,11,20,36
731,9,1,32,20,10,22
732,35,23,11,9,19,25
733,10,12,9,7,14,19
734,35,27,10,33,9,36
735,22,24,8,19,36,31
736,24,33,20,19,35,21
737,9,22,32,4,7,28
738,20,26,4,9,33,1
739,9,34,28,32,14,29
740,5,27,22,15,17,26
741,2,22,18,30,35,16
742,33,21,37,29,25,30
743,6,23,10,27,12,34
744,6,17,15,10,3,4
745,12,23,13,37,7,30
746,15,22,30,12,17,14
747,13,30,6,25,23,34
748,35,27,3,2,10,6
749,32,28,34,11,2,16
750,16,28,35,9,18,23
751,11,27,6,23,2,33
752,11,32,28,3,26,23
753,15,4,35,11,23,24
754,7,33,14,34,21,24
755,31,36,30,16,32,13
756,33,34,2,25,11,5
757,18,34,4,21,36,38
758,28,35,22,17,3,6
759,35,25,24,16,33,32
760,25,7,18,32,31,19
761,33,19,4,29,13,24
762,13,9,3,28,34,23
763,26,9,29,8,34,13
764,19,3,25,11,26,8
765,5,32,33,21,19,34
766,14,19,5,31,18,11
767,7,1,28,29,38,12
768,27,22,5,21,28,8
769,30,13,18,10,33,12
770,26,19,27,4,18,36
771,6,13,32,3,17,7
772,7,2,13,18,32,10
773,8,19,6,35,26,22
774,38,27,28,4,31,19
775,25,26,21,36,12,3
776,3,23,6,5,33,1
777,33,25,31,37,6,22
778,8,13,25,5,12,3
779,7,32,28,11,6,14
780,24,10,15,5,14,17
781,33,22,35,9,19,5
782,3,6,4,31,37,20
783,10,20,16,13,35,12
784,27,35,14,25,5,18
785,37,4,23,15,30,18
786,10,21,13,37,6,24
787,2,20,21,25,15,24
788,30,4,34,17,23,12
789,34,33,32,3,21,1
790,3,28,18,21,37,4
791,23,33,26,2,14,3
792,8,4,9,22,18,35
793,29,4,26,16,12,32
794,17,2,11,20,1,14
795,27,33,3,32,16,29
796,25,1,7,2,28,13
797,30,2,5,29,7,10
798,19,22,31,38,4,21
799,15,36,38,35,23,12
800,38,26,19,9,13,22
801,25,21,22,1,2,33
802,33,18,8,3,12,1
803,26,38,24,32,22,17
804,10,3,25,5,2,28
805,37,18,10,27,9,38
806,38,19,10,23,29,27
807,21,29,2,12,36,32
808,18,16,4,36,24,3
809,17,35,34,1,10,7
810,37,32,19,20,5,6
811,22,17,33,23,6,26
812,37,16,34,33,35,24
813,7,12,14,35,32,36
814,17,15,28,6,27,9
815,35,30,12,15,21,9
816,13,21,16,26,8,36
817,17,38,32,6,24,25
818,34,33,11,30,37,27
819,38,4,19,32,1,3
820,27,20,5,29,1,15
821,34,29,27,28,25,13
822,34,6,25,33,22,16
823,11,27,28,2,23,15
824,3,29,15,5,35,16
825,8,12,31,35,21,5
826,26,35,23,6,27,28
827,9,25,4,10,13,3
828,20,35,13,14,7,22
829,7,38,5,14,29,27
830,8,20,33,30,17,10
831,22,7,21,38,19,35
832,3,9,21,4,37,24
833,8,30,32,37,4,2
834,37,35,33,28,36,5
835,12,6,24,15,31,29
836,2,37,10,7,9,3
837,13,23,19,26,1,4
838,37,27,32,26,17,16
839,32,17,5,4,3,6
840,26,22,16,10,32,37
841,19,17,24,15,26,6
842,10,32,11,28,36,4
843,14,37,33,4,29,10
844,5,24,31,32,38,14
845,23,14,9,28,20,29
846,19,6,22,30,21,20
847,6,2,11,33,21,22
848,22,28,37,13,36,1
849,6,7,8,3,9,17
850,4,1,14,12,3,29
851,18,16,10,33,5,14
852,35,34,11,22,9,36
853,36,32,26,4,27,20
854,1,10,17,4,20,33
855,15,6,35,36,33,11
856,16,26,18,27,7,38
857,1,7,13,9,8,15
858,18,22,37,34,2,35
859,2,22,15,10,9,6
860,34,19,33,23,18,26
861,1,26,32,6,11,8
862,5,30,14,36,21,34
863,2,29,8,26,28,7
864,22,34,29,2,30,20
865,34,30,12,15,2,7
866,18,7,1,36,22,16
867,26,4,29,14,17,27
868,10,18,32,22,14,16
869,12,30,33,24,20,4
870,5,21,33,6,10,20
871,37,27,31,3,38,22
872,29,28,33,21,17,18
873,22,30,14,37,1,5
874,2,33,31,26,18,32
875,28,6,15,35,8,2
876,5,15,17,13,23,6
877,5,30,2,25,17,20
878,9,22,1,5,23,10
879,10,19,9,23,1,29
880,19,37,22,33,4,31
881,4,31,2,29,33,30
882,27,11,20,38,36,30
883,2,4,30,26,29,1
884,20,19,3,35,29,27
885,29,12,23,27,4,28
886,21,20,6,33,1,9
887,25,22,4,19,2,30
888,23,27,34,7,17,33
889,24,26,8,33,17,14
890,31,3,18,5,17,9
891,20,10,14,13,33,31
892,24,37,16,12,20,32
893,38,28,26,6,31,4
894,5,9,13,27,1,30
895,5,7,31,10,27,29
896,11,35,21,23,20,6
897,2,19,8,4,20,13
898,20,24,28,29,26,5
899,13,15,26,32,37,16
900,3,9,27,12,5,14
901,38,15,24,31,19,28
902,10,34,23,8,7,5
903,7,32,29,35,15,33
904,15,10,30,1,6,35
905,17,3,33,26,15,9
906,24,31,18,16,32,37
907,13,14,11,4,30,22
908,1,21,3,26,5,29
909,28,32,24,27,20,36
910,30,2,1,20,12,15
911,21,3,30,13,1,33
912,23,20,37,30,33,28
913,10,15,11,1,2,4
914,14,21,6,23,25,17
915,36,30,2,13,12,34
916,1,6,26,38,29,17
917,33,15,5,1,28,6
918,33,7,26,29,27,9
919,28,17,37,29,16,33
920,35,5,15,12,2,38
921,15,10,18,17,21,22
922,3,28,5,7,6,29
923,7,2,19,24,13,3
924,3,2,23,6,20,10
925,34,4,36,10,18,28
926,6,21,12,38,26,10
927,4,1,19,33,8,37
928,9,29,16,28,33,5
929,11,30,2,17,16,24
930,12,21,22,1,25,6
931,32,30,18,15,9,19
932,8,5,6,38,33,3
933,12,6,35,29,9,28
934,4,30,1,22,24,17
935,16,24,19,1,26,31
936,7,8,14,29,27,32
937,8,20,37,16,32,10
938,10,31,13,1,30,38
939,38,12,22,29,30,1
940,27,17,26,38,2,31
941,15,1,38,32,21,28
942,27,9,25,33,6,28
943,32,4,1,31,30,14
944,16,19,4,26,2,17
945,1,17,16,14,25,35
946,29,1,30,22,36,13
947,25,35,32,6,36,38
948,11,18,24,27,34,7
949,2,22,3,5,7,8
950,26,31,29,8,24,19
951,15,30,10,25,21,2
952,7,13,16,37,12,5
953,12,1,21,28,3,19
954,28,30,25,6,3,17
955,35,24,8,11,2,26
956,6,22,1,27,2,26
957,15,6,17,22,4,31
958,8,20,2,5,28,18
959,33,14,22,16,15,9
960,16,31,1,37,35,6
961,29,19,5,4,22,10
962,26,29,10,23,30,27
963,16,22,33,37,38,4
964,6,15,3,28,36,35
965,15,36,24,17,11,33
966,3,15,26,29,17,31
967,7,34,21,8,1,9
968,6,3,23,24,22,1
969,31,6,26,1,23,19
970,35,17,1,27,33,15
971,7,30,33,27,31,22
972,34,11,13,12,27,9
973,34,26,2,18,8,29
974,36,33,6,27,32,37
975,18,30,12,9,21,3
976,19,8,25,34,26,20
977,3,16,15,9,22,30
978,28,29,5,36,26,22
979,27,7,28,18,35,19
980,34,29,21,12,17,5
981,4,32,36,33,22,12
982,26,38,15,25,9,34
983,27,29,35,32,7,30
984,16,22,15,8,1,13
985,27,8,6,35,32,1
986,28,16,14,20,18,32
987,11,17,21,25,6,16
988,9,22,36,21,8,32
989,24,19,11,12,27,4
990,18,24,16,25,32,4
991,22,12,23,38,33,37
992,15,9,3,29,4,37
993,3,8,17,24,16,13
994,34,30,24,14,37,3
