編號, 通話開始日期時間, 通話結束日期時間, 資費方案, 網內/網外
47,2019-12-20 9:0:9,2019-12-20 9:1:6,383型,網外
48,2019-12-20 9:0:10,2019-12-20 9:4:58,383型,網外
49,2019-12-20 9:0:10,2019-12-20 9:1:17,1683型,網內
50,2019-12-20 9:0:10,2019-12-20 9:2:48,583型,網內
51,2019-12-20 9:0:11,2019-12-20 9:4:37,583型,網內
52,2019-12-20 9:0:11,2019-12-20 9:3:0,1683型,網內
53,2019-12-20 9:0:11,2019-12-20 9:1:52,383型,網內
54,2019-12-20 9:0:11,2019-12-20 9:1:45,1683型,網外
55,2019-12-20 9:0:11,2019-12-20 9:3:46,1683型,網外
56,2019-12-20 9:0:12,2019-12-20 9:0:14,183型,網內
57,2019-12-20 9:0:12,2019-12-20 9:0:39,1683型,網外
58,2019-12-20 9:0:13,2019-12-20 9:2:12,183型,網內
59,2019-12-20 9:0:13,2019-12-20 9:0:23,983型,網內
60,2019-12-20 9:0:13,2019-12-20 9:0:13,183型,網內
61,2019-12-20 9:0:13,2019-12-20 9:0:29,983型,網內
62,2019-12-20 9:0:14,2019-12-20 9:2:22,583型,網內
63,2019-12-20 9:0:14,2019-12-20 9:3:22,1683型,網內
64,2019-12-20 9:0:14,2019-12-20 9:5:12,583型,網內
65,2019-12-20 9:0:14,2019-12-20 9:2:59,1683型,網內
66,2019-12-20 9:0:15,2019-12-20 9:4:14,983型,網內
67,2019-12-20 9:0:15,2019-12-20 9:1:42,183型,網外
68,2019-12-20 9:0:15,2019-12-20 9:4:45,183型,網外
69,2019-12-20 9:0:15,2019-12-20 9:0:58,583型,網外
70,2019-12-20 9:0:15,2019-12-20 9:1:19,183型,網外
71,2019-12-20 9:0:16,2019-12-20 9:4:34,1683型,網內
72,2019-12-20 9:0:16,2019-12-20 9:4:31,183型,網外
73,2019-12-20 9:0:16,2019-12-20 9:1:33,583型,網外
74,2019-12-20 9:0:16,2019-12-20 9:1:21,583型,網內
75,2019-12-20 9:0:16,2019-12-20 9:0:35,583型,網內
76,2019-12-20 9:0:16,2019-12-20 9:5:12,1683型,網內
77,2019-12-20 9:0:16,2019-12-20 9:4:45,583型,網內
78,2019-12-20 9:0:17,2019-12-20 9:1:55,583型,網內
79,2019-12-20 9:0:17,2019-12-20 9:2:41,583型,網內
80,2019-12-20 9:0:17,2019-12-20 9:5:10,1683型,網內
81,2019-12-20 9:0:18,2019-12-20 9:4:3,1683型,網內
82,2019-12-20 9:0:18,2019-12-20 9:3:16,983型,網內
83,2019-12-20 9:0:18,2019-12-20 9:1:22,983型,網內
84,2019-12-20 9:0:18,2019-12-20 9:1:48,983型,網內
85,2019-12-20 9:0:18,2019-12-20 9:1:54,983型,網內
86,2019-12-20 9:0:19,2019-12-20 9:2:20,1683型,網內
87,2019-12-20 9:0:19,2019-12-20 9:0:43,583型,網內
88,2019-12-20 9:0:19,2019-12-20 9:1:47,1683型,網內
89,2019-12-20 9:0:19,2019-12-20 9:4:10,583型,網內
90,2019-12-20 9:0:19,2019-12-20 9:4:4,1683型,網內
91,2019-12-20 9:0:19,2019-12-20 9:2:38,583型,網內
92,2019-12-20 9:0:20,2019-12-20 9:4:53,583型,網內
93,2019-12-20 9:0:20,2019-12-20 9:1:41,1683型,網內
94,2019-12-20 9:0:20,2019-12-20 9:3:38,983型,網內
95,2019-12-20 9:0:20,2019-12-20 9:1:41,983型,網內
96,2019-12-20 9:0:20,2019-12-20 9:2:12,983型,網內
97,2019-12-20 9:0:21,2019-12-20 9:0:41,183型,網外
98,2019-12-20 9:0:21,2019-12-20 9:2:1,183型,網外
99,2019-12-20 9:0:21,2019-12-20 9:4:26,183型,網外
100,2019-12-20 9:0:21,2019-12-20 9:4:44,183型,網外
101,2019-12-20 9:0:22,2019-12-20 9:1:9,1683型,網內
102,2019-12-20 9:0:22,2019-12-20 9:2:48,383型,網外
103,2019-12-20 9:0:22,2019-12-20 9:3:52,383型,網外
104,2019-12-20 9:0:23,2019-12-20 9:1:30,583型,網外
105,2019-12-20 9:0:23,2019-12-20 9:3:54,583型,網外
106,2019-12-20 9:0:23,2019-12-20 9:1:45,383型,網外
107,2019-12-20 9:0:23,2019-12-20 9:3:50,1683型,網內
108,2019-12-20 9:0:23,2019-12-20 9:1:47,983型,網內
109,2019-12-20 9:0:23,2019-12-20 9:3:26,1683型,網內
110,2019-12-20 9:0:23,2019-12-20 9:4:47,183型,網內
111,2019-12-20 9:0:24,2019-12-20 9:4:45,983型,網內
112,2019-12-20 9:0:24,2019-12-20 9:0:58,983型,網內
113,2019-12-20 9:0:24,2019-12-20 9:5:20,1683型,網內
114,2019-12-20 9:0:24,2019-12-20 9:1:6,183型,網內
115,2019-12-20 9:0:25,2019-12-20 9:1:25,583型,網內
116,2019-12-20 9:0:25,2019-12-20 9:4:0,583型,網內
117,2019-12-20 9:0:26,2019-12-20 9:3:50,1683型,網內
118,2019-12-20 9:0:26,2019-12-20 9:2:52,183型,網內
119,2019-12-20 9:0:26,2019-12-20 9:1:55,983型,網內
120,2019-12-20 9:0:26,2019-12-20 9:4:20,1683型,網內
121,2019-12-20 9:0:26,2019-12-20 9:0:55,983型,網內
122,2019-12-20 9:0:26,2019-12-20 9:4:11,983型,網內
123,2019-12-20 9:0:27,2019-12-20 9:5:25,583型,網內
124,2019-12-20 9:0:27,2019-12-20 9:4:9,583型,網內
125,2019-12-20 9:0:27,2019-12-20 9:2:17,583型,網內
126,2019-12-20 9:0:27,2019-12-20 9:1:43,983型,網外
127,2019-12-20 9:0:27,2019-12-20 9:1:20,983型,網內
128,2019-12-20 9:0:27,2019-12-20 9:2:43,983型,網內
129,2019-12-20 9:0:28,2019-12-20 9:3:28,1683型,網內
130,2019-12-20 9:0:28,2019-12-20 9:5:25,983型,網內
131,2019-12-20 9:0:28,2019-12-20 9:2:5,583型,網內
132,2019-12-20 9:0:28,2019-12-20 9:5:2,583型,網內
133,2019-12-20 9:0:28,2019-12-20 9:1:36,983型,網外
134,2019-12-20 9:0:28,2019-12-20 9:1:48,183型,網外
135,2019-12-20 9:0:28,2019-12-20 9:1:42,983型,網外
136,2019-12-20 9:0:29,2019-12-20 9:0:37,983型,網內
137,2019-12-20 9:0:29,2019-12-20 9:1:37,983型,網內
138,2019-12-20 9:0:29,2019-12-20 9:4:29,183型,網外
139,2019-12-20 9:0:30,2019-12-20 9:3:20,983型,網內
140,2019-12-20 9:0:30,2019-12-20 9:2:56,583型,網外
141,2019-12-20 9:0:30,2019-12-20 9:0:35,583型,網外
142,2019-12-20 9:0:30,2019-12-20 9:1:26,1683型,網內
143,2019-12-20 9:0:30,2019-12-20 9:3:55,383型,網外
144,2019-12-20 9:0:30,2019-12-20 9:1:8,383型,網外
145,2019-12-20 9:0:30,2019-12-20 9:3:16,583型,網外
146,2019-12-20 9:0:31,2019-12-20 9:2:55,583型,網外
147,2019-12-20 9:0:31,2019-12-20 9:5:27,383型,網外
148,2019-12-20 9:0:31,2019-12-20 9:4:41,383型,網外
149,2019-12-20 9:0:31,2019-12-20 9:4:19,383型,網外
150,2019-12-20 9:0:31,2019-12-20 9:3:41,1683型,網內
151,2019-12-20 9:0:32,2019-12-20 9:3:47,1683型,網內
152,2019-12-20 9:0:32,2019-12-20 9:3:4,1683型,網內
153,2019-12-20 9:0:32,2019-12-20 9:2:39,583型,網內
154,2019-12-20 9:0:32,2019-12-20 9:3:30,583型,網內
155,2019-12-20 9:0:32,2019-12-20 9:2:34,583型,網內
156,2019-12-20 9:0:32,2019-12-20 9:2:47,583型,網內
157,2019-12-20 9:0:33,2019-12-20 9:1:24,1683型,網外
158,2019-12-20 9:0:33,2019-12-20 9:1:28,183型,網內
159,2019-12-20 9:0:33,2019-12-20 9:1:31,1683型,網外
160,2019-12-20 9:0:33,2019-12-20 9:2:25,1683型,網外
161,2019-12-20 9:0:33,2019-12-20 9:5:20,183型,網內
162,2019-12-20 9:0:34,2019-12-20 9:4:34,1683型,網外
163,2019-12-20 9:0:34,2019-12-20 9:4:39,1683型,網外
164,2019-12-20 9:0:34,2019-12-20 9:4:8,583型,網內
165,2019-12-20 9:0:35,2019-12-20 9:3:17,583型,網內
166,2019-12-20 9:0:35,2019-12-20 9:2:28,1683型,網外
167,2019-12-20 9:0:35,2019-12-20 9:4:17,983型,網外
168,2019-12-20 9:0:35,2019-12-20 9:4:35,1683型,網外
169,2019-12-20 9:0:35,2019-12-20 9:2:27,183型,網內
170,2019-12-20 9:0:35,2019-12-20 9:0:40,1683型,網外
171,2019-12-20 9:0:35,2019-12-20 9:5:21,983型,網外
172,2019-12-20 9:0:35,2019-12-20 9:4:19,583型,網內
173,2019-12-20 9:0:36,2019-12-20 9:5:36,583型,網內
174,2019-12-20 9:0:36,2019-12-20 9:5:26,583型,網內
175,2019-12-20 9:0:36,2019-12-20 9:1:55,1683型,網外
176,2019-12-20 9:0:36,2019-12-20 9:3:25,183型,網內
177,2019-12-20 9:0:37,2019-12-20 9:2:41,1683型,網外
178,2019-12-20 9:0:37,2019-12-20 9:2:19,983型,網內
179,2019-12-20 9:0:37,2019-12-20 9:5:6,983型,網內
180,2019-12-20 9:0:38,2019-12-20 9:1:7,983型,網內
181,2019-12-20 9:0:38,2019-12-20 9:4:1,383型,網外
182,2019-12-20 9:0:38,2019-12-20 9:2:59,1683型,網外
183,2019-12-20 9:0:39,2019-12-20 9:2:6,383型,網外
184,2019-12-20 9:0:39,2019-12-20 9:0:51,383型,網外
185,2019-12-20 9:0:39,2019-12-20 9:2:37,1683型,網外
186,2019-12-20 9:0:39,2019-12-20 9:3:7,983型,網內
187,2019-12-20 9:0:40,2019-12-20 9:1:42,983型,網內
188,2019-12-20 9:0:40,2019-12-20 9:5:30,1683型,網外
189,2019-12-20 9:0:40,2019-12-20 9:3:37,183型,網內
190,2019-12-20 9:0:40,2019-12-20 9:5:4,1683型,網外
191,2019-12-20 9:0:41,2019-12-20 9:4:48,983型,網內
192,2019-12-20 9:0:41,2019-12-20 9:4:8,983型,網內
193,2019-12-20 9:0:41,2019-12-20 9:0:42,183型,網外
194,2019-12-20 9:0:41,2019-12-20 9:5:40,183型,網外
195,2019-12-20 9:0:41,2019-12-20 9:4:37,183型,網外
196,2019-12-20 9:0:42,2019-12-20 9:3:29,1683型,網外
197,2019-12-20 9:0:42,2019-12-20 9:4:48,983型,網內
198,2019-12-20 9:0:42,2019-12-20 9:5:36,983型,網內
199,2019-12-20 9:0:42,2019-12-20 9:2:25,583型,網內
200,2019-12-20 9:0:42,2019-12-20 9:3:7,583型,網內
201,2019-12-20 9:0:42,2019-12-20 9:2:39,1683型,網外
202,2019-12-20 9:0:43,2019-12-20 9:3:0,983型,網內
203,2019-12-20 9:0:43,2019-12-20 9:0:56,983型,網內
204,2019-12-20 9:0:43,2019-12-20 9:3:2,1683型,網外
205,2019-12-20 9:0:43,2019-12-20 9:2:16,983型,網內
206,2019-12-20 9:0:44,2019-12-20 9:5:8,983型,網內
207,2019-12-20 9:0:44,2019-12-20 9:2:6,1683型,網外
208,2019-12-20 9:0:44,2019-12-20 9:3:40,983型,網內
209,2019-12-20 9:0:45,2019-12-20 9:1:35,183型,網外
210,2019-12-20 9:0:45,2019-12-20 9:4:2,1683型,網內
211,2019-12-20 9:0:45,2019-12-20 9:2:11,1683型,網內
212,2019-12-20 9:0:45,2019-12-20 9:1:15,583型,網內
213,2019-12-20 9:0:45,2019-12-20 9:5:37,583型,網內
214,2019-12-20 9:0:45,2019-12-20 9:2:9,583型,網內
215,2019-12-20 9:0:45,2019-12-20 9:3:58,1683型,網內
216,2019-12-20 9:0:46,2019-12-20 9:4:3,983型,網內
217,2019-12-20 9:0:46,2019-12-20 9:5:30,983型,網內
218,2019-12-20 9:0:46,2019-12-20 9:3:1,1683型,網內
219,2019-12-20 9:0:46,2019-12-20 9:4:14,183型,網內
220,2019-12-20 9:0:46,2019-12-20 9:3:36,983型,網外
221,2019-12-20 9:0:47,2019-12-20 9:5:7,1683型,網外
222,2019-12-20 9:0:47,2019-12-20 9:5:0,583型,網內
223,2019-12-20 9:0:47,2019-12-20 9:5:15,1683型,網外
224,2019-12-20 9:0:47,2019-12-20 9:5:45,183型,網外
225,2019-12-20 9:0:48,2019-12-20 9:1:24,1683型,網外
226,2019-12-20 9:0:48,2019-12-20 9:4:38,983型,網內
227,2019-12-20 9:0:49,2019-12-20 9:0:51,983型,網內
228,2019-12-20 9:0:49,2019-12-20 9:2:53,1683型,網外
229,2019-12-20 9:0:49,2019-12-20 9:0:56,583型,網內
230,2019-12-20 9:0:49,2019-12-20 9:3:46,583型,網內
231,2019-12-20 9:0:49,2019-12-20 9:2:53,1683型,網外
232,2019-12-20 9:0:49,2019-12-20 9:4:32,583型,網內
233,2019-12-20 9:0:50,2019-12-20 9:4:29,583型,網內
234,2019-12-20 9:0:50,2019-12-20 9:4:30,583型,網內
235,2019-12-20 9:0:50,2019-12-20 9:1:25,1683型,網外
236,2019-12-20 9:0:50,2019-12-20 9:1:33,983型,網內
237,2019-12-20 9:0:51,2019-12-20 9:5:15,983型,網內
238,2019-12-20 9:0:52,2019-12-20 9:5:3,183型,網內
239,2019-12-20 9:0:52,2019-12-20 9:4:14,1683型,網外
240,2019-12-20 9:0:52,2019-12-20 9:2:5,983型,網外
241,2019-12-20 9:0:52,2019-12-20 9:4:46,1683型,網外
242,2019-12-20 9:0:52,2019-12-20 9:2:35,183型,網內
243,2019-12-20 9:0:53,2019-12-20 9:1:12,1683型,網外
244,2019-12-20 9:0:53,2019-12-20 9:3:8,1683型,網外
245,2019-12-20 9:0:53,2019-12-20 9:1:29,583型,網內
246,2019-12-20 9:0:53,2019-12-20 9:2:40,583型,網內
247,2019-12-20 9:0:53,2019-12-20 9:1:56,583型,網內
248,2019-12-20 9:0:54,2019-12-20 9:4:55,983型,網外
249,2019-12-20 9:0:54,2019-12-20 9:3:57,1683型,網內
250,2019-12-20 9:0:54,2019-12-20 9:1:54,183型,網外
251,2019-12-20 9:0:55,2019-12-20 9:3:58,1683型,網內
252,2019-12-20 9:0:56,2019-12-20 9:5:35,183型,網外
253,2019-12-20 9:0:56,2019-12-20 9:3:4,983型,網內
254,2019-12-20 9:0:57,2019-12-20 9:1:58,183型,網外
255,2019-12-20 9:0:57,2019-12-20 9:3:14,983型,網內
256,2019-12-20 9:0:57,2019-12-20 9:5:39,583型,網外
257,2019-12-20 9:0:57,2019-12-20 9:3:48,983型,網內
258,2019-12-20 9:0:57,2019-12-20 9:1:41,583型,網外
259,2019-12-20 9:0:57,2019-12-20 9:2:32,1683型,網內
260,2019-12-20 9:0:57,2019-12-20 9:2:59,383型,網外
261,2019-12-20 9:0:57,2019-12-20 9:5:54,383型,網外
262,2019-12-20 9:0:58,2019-12-20 9:3:1,1683型,網內
263,2019-12-20 9:0:58,2019-12-20 9:3:34,383型,網外
264,2019-12-20 9:0:58,2019-12-20 9:3:30,1683型,網外
265,2019-12-20 9:0:58,2019-12-20 9:2:21,583型,網外
266,2019-12-20 9:0:58,2019-12-20 9:2:7,583型,網外
267,2019-12-20 9:0:59,2019-12-20 9:5:51,1683型,網外
268,2019-12-20 9:0:59,2019-12-20 9:4:13,183型,網內
269,2019-12-20 9:0:59,2019-12-20 9:3:12,183型,網內
270,2019-12-20 9:0:59,2019-12-20 9:2:55,1683型,網外
271,2019-12-20 9:0:59,2019-12-20 9:5:28,983型,網外
272,2019-12-20 9:0:59,2019-12-20 9:4:46,983型,網外
273,2019-12-20 9:0:59,2019-12-20 9:2:22,1683型,網外
274,2019-12-20 9:1:0,2019-12-20 9:4:1,1683型,網外
275,2019-12-20 9:1:0,2019-12-20 9:4:46,583型,網內
276,2019-12-20 9:1:0,2019-12-20 9:3:21,583型,網內
277,2019-12-20 9:1:0,2019-12-20 9:1:44,583型,網內
278,2019-12-20 9:1:1,2019-12-20 9:2:42,1683型,網外
279,2019-12-20 9:1:2,2019-12-20 9:1:47,583型,網內
280,2019-12-20 9:1:2,2019-12-20 9:1:32,1683型,網外
281,2019-12-20 9:1:2,2019-12-20 9:3:36,1683型,網外
282,2019-12-20 9:1:2,2019-12-20 9:4:27,583型,網內
283,2019-12-20 9:1:2,2019-12-20 9:1:6,583型,網內
284,2019-12-20 9:1:2,2019-12-20 9:4:4,583型,網內
285,2019-12-20 9:1:2,2019-12-20 9:1:53,1683型,網內
286,2019-12-20 9:1:2,2019-12-20 9:5:46,1683型,網內
287,2019-12-20 9:1:3,2019-12-20 9:3:20,1683型,網內
288,2019-12-20 9:1:3,2019-12-20 9:5:38,983型,網內
289,2019-12-20 9:1:3,2019-12-20 9:2:59,1683型,網外
290,2019-12-20 9:1:4,2019-12-20 9:5:27,983型,網內
291,2019-12-20 9:1:4,2019-12-20 9:2:42,983型,網內
292,2019-12-20 9:1:5,2019-12-20 9:2:20,1683型,網外
293,2019-12-20 9:1:5,2019-12-20 9:5:50,983型,網內
294,2019-12-20 9:1:5,2019-12-20 9:1:30,183型,網內
295,2019-12-20 9:1:5,2019-12-20 9:6:4,983型,網內
296,2019-12-20 9:1:5,2019-12-20 9:4:58,983型,網內
297,2019-12-20 9:1:6,2019-12-20 9:5:33,1683型,網外
298,2019-12-20 9:1:6,2019-12-20 9:1:42,183型,網外
299,2019-12-20 9:1:6,2019-12-20 9:1:23,183型,網外
300,2019-12-20 9:1:6,2019-12-20 9:3:12,1683型,網外
301,2019-12-20 9:1:6,2019-12-20 9:4:55,983型,網內
302,2019-12-20 9:1:7,2019-12-20 9:3:35,983型,網內
303,2019-12-20 9:1:7,2019-12-20 9:3:41,1683型,網外
304,2019-12-20 9:1:7,2019-12-20 9:4:5,383型,網內
305,2019-12-20 9:1:7,2019-12-20 9:2:13,383型,網內
306,2019-12-20 9:1:8,2019-12-20 9:3:36,1683型,網外
307,2019-12-20 9:1:8,2019-12-20 9:5:52,1683型,網外
308,2019-12-20 9:1:8,2019-12-20 9:3:17,183型,網內
309,2019-12-20 9:1:8,2019-12-20 9:1:29,183型,網內
310,2019-12-20 9:1:9,2019-12-20 9:2:18,1683型,網外
311,2019-12-20 9:1:9,2019-12-20 9:2:33,983型,網外
312,2019-12-20 9:1:9,2019-12-20 9:4:17,983型,網外
313,2019-12-20 9:1:9,2019-12-20 9:6:0,983型,網外
314,2019-12-20 9:1:10,2019-12-20 9:2:52,1683型,網外
315,2019-12-20 9:1:10,2019-12-20 9:1:45,383型,網內
316,2019-12-20 9:1:11,2019-12-20 9:3:26,383型,網內
317,2019-12-20 9:1:11,2019-12-20 9:5:33,383型,網內
318,2019-12-20 9:1:12,2019-12-20 9:3:54,1683型,網外
319,2019-12-20 9:1:12,2019-12-20 9:2:15,983型,網外
320,2019-12-20 9:1:12,2019-12-20 9:5:7,983型,網外
321,2019-12-20 9:1:12,2019-12-20 9:3:54,983型,網外
322,2019-12-20 9:1:12,2019-12-20 9:5:15,1683型,網外
323,2019-12-20 9:1:12,2019-12-20 9:3:8,383型,網外
324,2019-12-20 9:1:13,2019-12-20 9:3:57,383型,網外
325,2019-12-20 9:1:13,2019-12-20 9:5:59,1683型,網外
326,2019-12-20 9:1:14,2019-12-20 9:1:24,383型,網外
327,2019-12-20 9:1:14,2019-12-20 9:2:10,1683型,網外
328,2019-12-20 9:1:14,2019-12-20 9:2:42,583型,網內
329,2019-12-20 9:1:14,2019-12-20 9:3:28,583型,網內
330,2019-12-20 9:1:15,2019-12-20 9:3:28,583型,網內
331,2019-12-20 9:1:15,2019-12-20 9:5:20,1683型,網外
332,2019-12-20 9:1:16,2019-12-20 9:2:0,583型,網內
333,2019-12-20 9:1:16,2019-12-20 9:2:8,1683型,網外
334,2019-12-20 9:1:16,2019-12-20 9:2:4,583型,網內
335,2019-12-20 9:1:16,2019-12-20 9:2:7,1683型,網外
336,2019-12-20 9:1:16,2019-12-20 9:2:57,983型,網內
337,2019-12-20 9:1:16,2019-12-20 9:3:40,983型,網內
338,2019-12-20 9:1:17,2019-12-20 9:3:5,983型,網內
339,2019-12-20 9:1:17,2019-12-20 9:2:12,1683型,網內
340,2019-12-20 9:1:17,2019-12-20 9:4:34,383型,網內
341,2019-12-20 9:1:17,2019-12-20 9:5:33,983型,網內
342,2019-12-20 9:1:18,2019-12-20 9:5:54,983型,網內
343,2019-12-20 9:1:18,2019-12-20 9:4:45,1683型,網內
344,2019-12-20 9:1:18,2019-12-20 9:5:20,183型,網內
345,2019-12-20 9:1:18,2019-12-20 9:5:24,183型,網內
346,2019-12-20 9:1:18,2019-12-20 9:1:52,183型,網內
347,2019-12-20 9:1:19,2019-12-20 9:6:15,1683型,網內
348,2019-12-20 9:1:20,2019-12-20 9:1:44,1683型,網外
349,2019-12-20 9:1:20,2019-12-20 9:3:6,383型,網內
350,2019-12-20 9:1:20,2019-12-20 9:4:30,1683型,網外
351,2019-12-20 9:1:20,2019-12-20 9:2:25,983型,網外
352,2019-12-20 9:1:20,2019-12-20 9:5:22,383型,網內
353,2019-12-20 9:1:20,2019-12-20 9:3:38,983型,網外
354,2019-12-20 9:1:20,2019-12-20 9:4:12,1683型,網內
355,2019-12-20 9:1:20,2019-12-20 9:3:40,383型,網內
356,2019-12-20 9:1:21,2019-12-20 9:3:19,383型,網內
357,2019-12-20 9:1:21,2019-12-20 9:2:55,1683型,網內
358,2019-12-20 9:1:21,2019-12-20 9:2:45,983型,網內
359,2019-12-20 9:1:21,2019-12-20 9:5:1,1683型,網內
360,2019-12-20 9:1:21,2019-12-20 9:1:53,983型,網內
361,2019-12-20 9:1:21,2019-12-20 9:2:44,983型,網內
362,2019-12-20 9:1:22,2019-12-20 9:2:55,183型,網內
363,2019-12-20 9:1:22,2019-12-20 9:6:0,983型,網內
364,2019-12-20 9:1:22,2019-12-20 9:2:42,983型,網內
365,2019-12-20 9:1:22,2019-12-20 9:3:38,1683型,網外
366,2019-12-20 9:1:22,2019-12-20 9:5:54,383型,網內
367,2019-12-20 9:1:22,2019-12-20 9:2:27,983型,網內
368,2019-12-20 9:1:22,2019-12-20 9:5:1,983型,網內
369,2019-12-20 9:1:22,2019-12-20 9:5:13,983型,網內
370,2019-12-20 9:1:22,2019-12-20 9:3:22,1683型,網外
371,2019-12-20 9:1:23,2019-12-20 9:3:54,383型,網內
372,2019-12-20 9:1:23,2019-12-20 9:4:58,1683型,網外
373,2019-12-20 9:1:24,2019-12-20 9:5:19,983型,網內
374,2019-12-20 9:1:24,2019-12-20 9:5:49,983型,網內
375,2019-12-20 9:1:24,2019-12-20 9:2:50,1683型,網外
376,2019-12-20 9:1:24,2019-12-20 9:2:24,383型,網內
377,2019-12-20 9:1:24,2019-12-20 9:6:0,383型,網內
378,2019-12-20 9:1:24,2019-12-20 9:5:3,1683型,網外
379,2019-12-20 9:1:25,2019-12-20 9:4:2,183型,網內
380,2019-12-20 9:1:25,2019-12-20 9:6:14,183型,網內
381,2019-12-20 9:1:25,2019-12-20 9:5:46,1683型,網外
382,2019-12-20 9:1:25,2019-12-20 9:3:57,1683型,網外
383,2019-12-20 9:1:25,2019-12-20 9:5:27,583型,網內
384,2019-12-20 9:1:25,2019-12-20 9:2:23,583型,網內
385,2019-12-20 9:1:25,2019-12-20 9:1:46,1683型,網外
386,2019-12-20 9:1:25,2019-12-20 9:1:46,583型,網內
387,2019-12-20 9:1:26,2019-12-20 9:5:4,583型,網內
388,2019-12-20 9:1:26,2019-12-20 9:5:47,1683型,網外
389,2019-12-20 9:1:26,2019-12-20 9:3:2,583型,網外
390,2019-12-20 9:1:26,2019-12-20 9:4:59,583型,網外
391,2019-12-20 9:1:27,2019-12-20 9:5:55,583型,網外
392,2019-12-20 9:1:27,2019-12-20 9:6:5,1683型,網外
393,2019-12-20 9:1:27,2019-12-20 9:4:1,183型,網外
394,2019-12-20 9:1:27,2019-12-20 9:4:18,183型,網外
395,2019-12-20 9:1:27,2019-12-20 9:3:12,183型,網外
396,2019-12-20 9:1:27,2019-12-20 9:5:57,1683型,網外
397,2019-12-20 9:1:28,2019-12-20 9:2:7,1683型,網外
398,2019-12-20 9:1:28,2019-12-20 9:2:39,983型,網內
399,2019-12-20 9:1:28,2019-12-20 9:6:4,983型,網內
400,2019-12-20 9:1:28,2019-12-20 9:4:11,1683型,網外
401,2019-12-20 9:1:29,2019-12-20 9:2:55,183型,網內
402,2019-12-20 9:1:29,2019-12-20 9:3:45,183型,網內
403,2019-12-20 9:1:29,2019-12-20 9:3:51,1683型,網內
404,2019-12-20 9:1:29,2019-12-20 9:1:32,1683型,網內
405,2019-12-20 9:1:29,2019-12-20 9:3:42,983型,網內
406,2019-12-20 9:1:29,2019-12-20 9:6:14,983型,網內
